Consequence	N
intron_variant	30241
intron_variant,non_coding_transcript_variant	14220
intron_variant,NMD_transcript_variant	7353
downstream_gene_variant	7151
upstream_gene_variant	6750
intergenic_variant	1005
3_prime_UTR_variant	649
non_coding_transcript_exon_variant	561
synonymous_variant	379
missense_variant	352
3_prime_UTR_variant,NMD_transcript_variant	297
5_prime_UTR_variant	262
missense_variant,splice_region_variant	86
synonymous_variant,NMD_transcript_variant	73
5_prime_UTR_variant,NMD_transcript_variant	66
missense_variant,NMD_transcript_variant	59
splice_polypyrimidine_tract_variant,intron_variant,NMD_transcript_variant	31
splice_acceptor_variant	25
splice_region_variant,intron_variant	20
splice_region_variant,splice_polypyrimidine_tract_variant,intron_variant	20
splice_polypyrimidine_tract_variant,intron_variant	18
splice_donor_region_variant,intron_variant	17
splice_region_variant,synonymous_variant	17
splice_donor_region_variant,intron_variant,non_coding_transcript_variant	14
splice_region_variant,intron_variant,NMD_transcript_variant	14
splice_donor_5th_base_variant,intron_variant	12
stop_gained	12
splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant	10
splice_polypyrimidine_tract_variant,intron_variant,non_coding_transcript_variant	9
splice_region_variant,non_coding_transcript_exon_variant	8
splice_donor_region_variant,intron_variant,NMD_transcript_variant	7
splice_region_variant,splice_polypyrimidine_tract_variant,intron_variant,non_coding_transcript_variant	7
splice_region_variant,intron_variant,non_coding_transcript_variant	5
splice_region_variant,splice_polypyrimidine_tract_variant,intron_variant,NMD_transcript_variant	4
splice_region_variant,synonymous_variant,NMD_transcript_variant	3
splice_donor_5th_base_variant,intron_variant,NMD_transcript_variant	2
missense_variant,splice_region_variant,NMD_transcript_variant	1
splice_acceptor_variant,NMD_transcript_variant	1
splice_acceptor_variant,non_coding_transcript_variant	1
