SYMBOL	N
ZBTB20	734
LPP	698
FOXP1	422
SORBS1	417
PARD3	388
MAP4	381
PCBP1-AS1	362
LINC00680	359
MEF2C-AS1	294
ZCCHC7	251
CNDP2	238
ZNF568	233
PDLIM5	232
TMEM259	230
ARHGAP12	224
WASHC2A	213
ST3GAL3	211
TSBP1-AS1	211
DGLUCY	210
GRIA4	210
LDLRAD4	207
MARS1	197
CCDC26	196
CDKAL1	193
HMBOX1	189
MIR924HG	189
LINC01572	184
MIR9-2HG	175
PHF20	174
SNHG17	174
IL4R	170
SH3RF2	162
UBE2Q2P1	160
TPM1	159
TSPAN4	158
EPS15L1	155
PIGN	152
PRPSAP2	152
PTPRK	152
RBFOX1	150
GLDC	149
MEF2A	148
NRP1	147
FYN	146
COBL	144
PCCA	143
MAP2K5	141
ACADVL	137
PRKCZ	137
LINC01524	135
DDX5	134
FCHSD2	132
ZZZ3	132
RPS6KC1	130
TMEM232	130
GPR107	127
CPEB3	124
FARS2	124
PARP9	124
ATXN10	122
SPECC1	122
R3HDM2	121
ACSL6	120
CFAP298	118
GLB1	118
RIN2	116
FAAP20	113
HLA-DQA1	113
DLEU2	112
CHID1	110
LINC00989	108
NFIB	108
NSMCE1	108
APP	107
LINC01122	107
HDLBP	106
RBM17	106
BCL2L13	105
CERS4	105
SGCE	105
SIL1	104
STAG1	102
IP6K3	101
KDM4C	100
CALCOCO2	99
IL1RAP	99
PARPBP	96
SNX25	95
LINC01837	94
MIR100HG	94
NT5C3A	93
ZFHX3-AS1	93
MYBL2	92
NT5C2	92
PKIG	91
SMARCA4	91
MIR646HG	90
PTPN4	90
RGS7	90
STAU1	90
ZNF22-AS1	90
ASCC2	89
SFI1	89
MKNK1	88
DLG1	87
BTN3A2	86
MAPT	86
SLC35B3	86
WASHC4	85
TMPRSS6	84
ATXN2	83
EXOC1	83
KDM1A	82
LINC02614	82
ZNF133	82
BAK1	81
CHD1L	81
EPB41	81
IL11RA	81
TFDP1	81
CSMD1	80
PPARG	80
CDK14	79
LINC02851	79
ALDH2	78
IMMT	78
MTMR10	78
ARL17A	77
DTNB	77
PPP1R9A	77
MYBPC1	76
SND1	76
TIA1	76
UBAP2L	76
COP1	75
DAPK2	75
GALT	75
IARS1	75
CLYBL	74
FANCI	74
STXBP5-AS1	74
TASP1	74
KLHL24	73
RPL6	73
ATF7	72
PACS2	72
SULT1A2	72
TRAFD1	72
ZMIZ1	72
CTNNA1	71
EIF2AK2	70
ICA1	70
SIPA1L1	70
ALAD	69
LRRC2	69
CCNL2	68
HDAC2-AS2	68
KHDRBS2	68
NEK11	68
OBI1-AS1	68
PKP4	68
UVRAG	68
BCS1L	67
MAGI2	67
ABI3BP	66
ANKRD11	66
ENO3	66
EPB41L3	66
MBNL1	66
ART3	65
CYLD	65
DNMT1	65
SLC22A7	65
SYNRG	65
ASB2	64
ITFG2	64
LETR1	64
PPFIBP1	64
PRR5L	64
TBC1D22A	64
TRDN	64
APPL2	63
PUM2	63
ARHGEF10L	62
IQCH	62
LUCAT1	62
TGFBR3	62
TLK2	62
ARMC9	61
BNC2	61
C6	61
CHEK2	61
HSP90B1	61
NUP98	61
BRD2	60
CHN2	60
HLA-DRB1	60
HLA-DRB5	60
HM13	60
MYH6	60
SMYD3	60
TARS3	60
C19orf12	59
FGGY	59
HLA-DQB1	59
ITPK1	59
NLRP1	59
PLCB4	59
POT1-AS1	59
ANAPC10	58
ATP2C2	58
FGFR1	58
GPR161	58
HLA-B	58
TECRL	58
ANXA6	57
DNM2	57
EIF3L	57
ERCC2	57
LINC02997	57
LLGL2	57
POLR2E	57
AGER	56
BOC	56
DECR1	56
IFT20	56
OSBPL2	56
PASK	56
RNF25	56
RPL13	56
STYXL1	56
TNFRSF1B	56
USP47	56
ARHGAP44	55
LINC00499	55
LINC01811	55
MDH1	55
PCCB	55
QDPR	55
AP2B1	54
CCDC30	54
DOCK9	54
INTS4	54
LINC01630	54
MALAT1	54
PHF20L1	54
RPS21	54
TC2N	54
ZNF438	54
AFG2A	53
ATF2	53
CMC2	53
DCTN2	53
LINC03076	53
LTBP1	53
VRK3	53
AKAP6	52
C2	52
CMTM8	52
FXYD5	52
GLMP	52
IL33	52
LINC00616	52
NTRK2	52
PAPOLA	52
PCDH15	52
SSBP2	52
STAT6	52
ABR	51
ALOX5	51
ARFIP2	51
GATAD2A	51
LINC02327	51
PCMT1	51
PIP5K1A	51
ALPK1	50
CCDC93	50
DGKA	50
DPP6	50
FLYWCH1	50
MZF1-AS1	50
PHF21A	50
TARID	50
TMTC1	50
UBA3	50
UBXN7	50
UHRF2	50
ASH2L	49
CYP19A1	49
DDX1	49
DENND2B	49
ESRRG	49
KCTD17	49
PRKCSH	49
SYNDIG1	49
VILMIR	49
CLDN12	48
EYA1	48
FAN1	48
IL15	48
MAP2	48
PLEKHA4	48
SEC24B-AS1	48
SMARCC1	48
SVIL	48
ATP8B4	47
CYP1B1-AS1	47
GFUS	47
HERC4	47
NTAQ1	47
PRKCB	47
RYK	47
JAK1	46
KLF12	46
LINC00299	46
MIPEP	46
NAMA	46
PLA2G6	46
PPIG	46
PRKN	46
PSG4	46
RFFL	46
TDRKH	46
UQCC1	46
EPS8	45
MSRB3	45
P4HA1	45
SEC23B	45
TASOR2	45
VPS35L	45
ADAM23	44
DOCK1	44
ITGB5	44
KIF16B	44
PARP8	44
SIRPA	44
SLC6A12	44
STK36	44
TAGAP-AS1	44
TAPBP	44
ABL2	43
ADCY5	43
CD247	43
DAXX	43
EPHX2	43
ETV1	43
GPT	43
JARID2	43
LDB2	43
PDE3A	43
POLR3G	43
RBMS1	43
RNF167	43
DSTN	42
EFCAB11	42
FHIT	42
GLIS3	42
HELZ-AS1	42
HOOK1	42
KANK2	42
NDST1	42
TRDMT1	42
ZNF91	42
AHSG	41
ASB3	41
FBXL4	41
FNBP1	41
LINC00539	41
LINC00607	41
LINC02884	41
LMBRD1	41
LPIN1	41
LTO1	41
MAN2A1	41
RAB18	41
RAB27A	41
RALB	41
RB1	41
TMEM267	41
VPS39	41
ZNF34	41
C8A	40
CASC15	40
CDH18	40
CHCHD3	40
DNAJC8	40
GGCX	40
LYPLA2	40
NCKAP1	40
OXCT1	40
PDGFRA	40
RAB7A	40
RBMS3	40
SMCO4	40
SPINT1	40
TSNARE1	40
WTAP	40
ZC3H8	40
ATL2	39
BBX	39
BCAS3	39
CNN2	39
CTIF	39
IDE	39
JAZF1	39
LINC01018	39
LINC01091	39
RBM47	39
SCAPER	39
SREBF2	39
THAP12	39
TMEM161A	39
TMEM182	39
USP39	39
ABCC1	38
ATG10	38
ATP1B3	38
CHD4	38
FASTKD1	38
IGSF11	38
ITCH	38
KCNH1	38
KMT2C	38
LY86-AS1	38
MAPKAP1	38
MIR4300HG	38
PNPT1	38
PPIL6	38
PTBP1	38
RNF126	38
STEAP1B	38
STT3B	38
TSPAN9	38
ABCB4	37
AIRIM	37
ANKRD29	37
DENND10	37
GVQW3	37
IGF2BP2	37
LINC00665	37
LINC01036	37
LINC01378	37
LINC02232	37
MICU1	37
NRF1	37
OPN3	37
PPT2	37
PTPRD	37
RAI14	37
AACS	36
ADGRL2	36
AGTPBP1	36
ASCC3	36
CACNA1C	36
CASC3	36
CHTF18	36
E2F6	36
GLG1	36
LINC00924	36
LINC02055	36
NCOA1	36
OAS3	36
OSBPL10	36
POLG2	36
PRKCD	36
REV1	36
RPL27	36
SEC63	36
STRBP	36
TBC1D16	36
TMCC1	36
TMEM14C	36
TMEM161B-DT	36
VPS36	36
WDR6	36
ZNF395	36
ACBD6	35
ANO4	35
BRPF1	35
COX10-DT	35
KLHL20	35
MARK1	35
MCF2L	35
MRPL48	35
RHOBTB1	35
SIPA1	35
SLC8B1	35
SNX6	35
AP3S1	34
CDH13	34
DALRD3	34
DENND1A	34
DOCK5	34
HEATR5B	34
IFT52	34
INPP5K	34
ITPR1	34
LINC02197	34
MINDY2	34
MOCS1	34
MSH2	34
NEMP1	34
NRG3	34
NSUN7	34
PANK4	34
PEDS1	34
PLEKHJ1	34
RERE	34
TAMM41	34
TAPT1	34
UTP6	34
ZFP69	34
ARHGEF28	33
DIABLO	33
DVL2	33
ERGIC1	33
EXOC3L4	33
GRAMD2B	33
LRIG3-DT	33
MYO6	33
NUSAP1	33
OXA1L	33
PHACTR4	33
SEMA4A	33
SETD3	33
SLC44A3-AS1	33
SNX10	33
SPOCK3	33
STXBP1	33
UBE3C	33
ZIC4	33
AGPS	32
ALDH6A1	32
AP3B1	32
ARL13B	32
CAB39	32
CHRM3	32
FHOD3	32
KAT14	32
KIF12	32
L3MBTL2	32
LINP1	32
MEIS2	32
MRPL14	32
MXRA7	32
NTRK3	32
PEAK1	32
RBM42	32
RIOK3	32
SLC35F5	32
SLC44A2	32
STIM1	32
TLR1	32
TMOD1	32
TNFAIP1	32
UBE2G1	32
ZBTB7C	32
ZNF385D	32
AFF1	31
ANKRD34C-AS1	31
APC	31
ATP6V1C1	31
CDH23	31
COX7A2	31
CRYL1	31
DCAKD	31
EGFR	31
FBXO17	31
GATM	31
GBE1	31
HLA-L	31
IRF8	31
LINC00301	31
LINC03138	31
MSI2	31
NAA25	31
NALCN	31
OGG1	31
PSD3	31
THBS2	31
TTC38	31
ZW10	31
ANXA4	30
ATF6	30
C3	30
CCDC148	30
CCSER1	30
CDC123	30
CENPN	30
GPR137B	30
IGSF21	30
KDM8	30
LAPTM4B	30
LINC01446	30
LINC02283	30
LINC02934	30
LINGO2	30
MEAF6	30
MYRIP	30
PITPNM2	30
POLK	30
RAPGEF6	30
RIC1	30
RNF34	30
SEC24B	30
SLC12A6	30
STRA6	30
TMEM135	30
TYW5	30
WDPCP	30
WDR11	30
YWHAE	30
ZNF33B	30
ACAA2	29
ASAP1	29
BMPR1B	29
CAPN7	29
CD9	29
CHST8	29
EML2	29
FOXP2	29
GPHN	29
GRM8	29
HLCS	29
HSPA4	29
IQCH-AS1	29
LINC02029	29
MME	29
MYO18B-AS1	29
PODN	29
RORB-AS1	29
SEC62	29
TBC1D1	29
TM2D3	29
ABCC6	28
ACSM3	28
ATP2B1	28
ATRNL1	28
BLNK	28
BMPER	28
C4A	28
CCDC68	28
CDIN1	28
CERT1	28
CPXM2	28
CSNK1G1	28
GDPD5	28
GPM6A	28
KMO	28
LCLAT1	28
LINC02676	28
LIPA	28
MAPK8	28
NPPA	28
PLAAT3	28
SMAD1	28
STARD4	28
TDRD3	28
TIMELESS	28
UBE4B	28
ZC3H18	28
AGAP1	27
ARHGAP15	27
CBLB	27
CPQ	27
DGKB	27
DYNC2H1	27
HDGFL2	27
HECTD2-AS1	27
LIPE-AS1	27
MAP7	27
MPZL1	27
PPP1R16B	27
PTTG1IP	27
RASSF8	27
SLC39A11	27
STK10	27
SUZ12	27
SYNJ1	27
TLK1	27
TNFSF12	27
TRIM14	27
TSBP1	27
TTC21B	27
XPC	27
ABHD5	26
ADCY2	26
AFAP1L1	26
AK7	26
CASC16	26
CHEK1	26
CLN6	26
CTH	26
CTNND2	26
DZIP1	26
EFCAB13	26
EIF2AK3	26
ELF1	26
ERAP2	26
HLA-DMA	26
LINC03131	26
MX2	26
N4BP2L2	26
NUBPL	26
PAFAH2	26
PBRM1	26
RRN3P2	26
SEMA6A	26
SLC7A6	26
SLC8A1	26
SUMF1	26
SYTL2	26
TSPAN5	26
ZNRF3	26
ARB2A	25
DNMT3A	25
FAM41C	25
FGF12	25
FNDC5	25
HCP5	25
IL6R	25
ITIH5	25
KC6	25
KMT2E	25
LETM1	25
LGR5	25
LINC00639	25
LMO7	25
LPAR6	25
MSRB2	25
MTF2	25
PRPSAP1	25
PSMB3	25
RPTOR	25
RRS1-DT	25
SGF29	25
SLC10A7	25
SLC22A3	25
SLC67A2	25
SYNGAP1	25
TBC1D12	25
TESK2	25
TRIM38	25
UNC79	25
XPO6	25
ZNF600	25
ZWILCH	25
AAGAB	24
ABCB10	24
AMOTL1	24
BCAS4	24
CAMTA1	24
EPHA5	24
EPM2A	24
FBXW7	24
FLT1	24
FNIP1	24
HERC1	24
IARS2	24
JAKMIP3	24
LGI1	24
LINC00908	24
LINC01621	24
LINC02763	24
MAPK15	24
MAT2A	24
MFSD12	24
MICU3	24
MRPS9-AS2	24
MSRA	24
MVB12A	24
NUP50	24
PAG1	24
PDE4D	24
PPFIA2	24
RHD	24
SCAMP1	24
SPRY4-AS1	24
TLN2	24
USP34	24
VPS50	24
ZBTB7A	24
ADH1C	23
APBB2	23
ARHGAP10	23
ATP6V1E1	23
BMP1	23
BRDT	23
CACNA2D3	23
CAST	23
CLEC16A	23
CPAP	23
CRHR1	23
CRTAC1	23
DIP2C	23
F11	23
HSPH1	23
LCA5L	23
LINC01117	23
LINC01483	23
LRRC4C	23
MYO16	23
NIN	23
NUDT16-DT	23
PKD2	23
PKIA	23
PLPP4	23
RFTN1	23
RGMB	23
RSRP1	23
SEC23A	23
SLC25A30	23
SLC36A1	23
SLIT3	23
SRI-AS1	23
THAP6	23
TTLL4	23
UBA6-DT	23
USP30	23
VPS4B	23
AKR1C4	22
AXL	22
BRD3	22
C8orf76	22
CCNT2	22
CTNNA3	22
DDHD1	22
DNAI7	22
DPP10	22
EIF2AK4	22
FAM13C	22
FHIP2B	22
FZD6	22
G6PC1	22
HCLS1	22
IL18R1	22
KCNAB1	22
KCNK2	22
L1TD1	22
LINC01615	22
MAN1C1	22
MERTK	22
NELL1	22
OVCH1-AS1	22
PCDH9	22
PEX1	22
PTCHD4	22
RARA	22
RBMS2	22
RNF213	22
RPP38	22
RPS6KA5	22
SH3BGR	22
SIMC1	22
SLC25A37	22
SMC2-DT	22
SOX6	22
TAP1	22
TCF7	22
TENM2	22
VAV2	22
WWC1	22
ADAM22	21
AKT3	21
ATF6B	21
BCL11A	21
BRPF3	21
C1orf21	21
CCDST	21
DAAM2	21
DGAT2	21
DIAPH1	21
EPHB2	21
ESR2	21
FMNL1	21
GABRB1	21
GPD1L	21
GRM4	21
IL21R	21
INPP4B	21
IRAG1	21
LINC00331	21
LINC01687	21
LINC02026	21
ME1	21
MECOM	21
MYPN	21
NUDT2	21
ODF2	21
PEBP4	21
PET100	21
PHF19	21
PRDM11	21
PRKCQ	21
PSMB9	21
RAMP1	21
RELA	21
RFWD3	21
RGS2-AS1	21
RNF115	21
RNF180	21
RPS29	21
SEPTIN11	21
SIDT2	21
SLC2A1	21
STAT4	21
TBC1D3L	21
TMPRSS3	21
TNFSF13	21
VAV3	21
VPS13B-DT	21
WRNIP1	21
XAB2	21
ZFYVE28	21
ZNF135	21
AADAT	20
ALKBH8	20
ARHGAP45	20
ARHGEF12	20
ATP8B1	20
CACNA2D1	20
CCDC178	20
COLGALT1	20
DDX52	20
DNAJC3	20
FRK	20
GRIK4	20
HAUS2	20
IL12RB2	20
LINC00887	20
LINC00906	20
LTBP3	20
MED6	20
MICA-AS1	20
MIRLET7A1HG	20
MYO1E	20
MYO9B	20
NKAIN3	20
PALM2AKAP2	20
PKN2-AS1	20
PLEKHM1	20
PTAFR	20
RALGPS1	20
SCN11A	20
SEMA3C	20
STEAP4	20
STPG1	20
STX18-AS1	20
STXBP4	20
TNFRSF8	20
TPK1	20
TSN	20
UCHL3	20
UQCC2	20
WNK1	20
ADSS2	19
AMOTL2	19
AREL1	19
ARHGAP26	19
ATP11B	19
BASP1-AS1	19
CACYBP	19
CDC73	19
CEP85	19
CNTNAP2	19
DIP2B	19
DMP1-AS1	19
ENTPD3	19
FANCA	19
FLVCR1	19
GALNT2	19
GSKIP	19
GTF3C1	19
JAZF1-AS1	19
KIAA1958	19
KIF15	19
KIF1B	19
LIN52	19
LINC01376	19
LINC02645	19
LRRC49	19
MACO1	19
MAPT-AS1	19
MRPL11	19
MSC-AS1	19
MTSS1	19
NCAPD2	19
NEDD4	19
NMT2	19
PIN1	19
PLEC	19
PLEKHB1	19
PLXDC2	19
POLA2	19
POU2F2	19
RORC	19
SEMA3F	19
SLC7A7	19
TCP10L	19
THAP4	19
TMCC3	19
UGT8	19
USH1C	19
ZNF496	19
ZSCAN10	19
ADGRL3	18
ADRA1A	18
APH1B	18
ARHGEF11	18
CELF2-DT	18
CEP350	18
CPED1	18
DCAF1	18
DCPS	18
DDX6	18
DYRK1A	18
FRG1-DT	18
FXYD7	18
GRIP1	18
IFIT1	18
IGFL2-AS1	18
ITGA8	18
JAK2	18
KANSL1L	18
LHFPL6	18
LINC00376	18
LINC01739	18
LINC02755	18
MTUS2	18
NIHCOLE	18
OBSCN	18
ORAI3	18
PJA2	18
PPFIA4	18
RALGAPA1	18
RANBP17	18
RECQL4	18
RYR1	18
RYR2	18
SKAP1	18
SLC13A5	18
SLC16A7	18
SLC25A15	18
SLC46A3	18
STX11	18
STYK1	18
SUSD1	18
SYT7	18
TMOD3	18
TNFSF10	18
UGT3A1	18
WDR72	18
ZNF317	18
ZRANB2-DT	18
ABCC5	17
AGFG2	17
ATP2B2	17
BISPR	17
CC2D2A	17
EYS	17
FAM238C	17
FBXW4	17
GALNT16	17
GLIPR2	17
HCG18	17
ITGB8	17
LINC00588	17
LINC00907	17
LINC01533	17
LINC02820	17
LINC02865	17
LSP1	17
MED27	17
MSR1	17
MTR	17
NCALD	17
NETO1-DT	17
NOD2	17
OXA1L-DT	17
PCAT1	17
PFN1	17
RABGAP1L	17
RGMB-AS1	17
RORA	17
SLA	17
SNRPG	17
SNU13	17
TMEM51	17
UGCG	17
UGGT2	17
WLS	17
XPC-AS1	17
ZFAT	17
ZFYVE16	17
ACVR1B	16
ALOX12P2	16
ANKS1A	16
AUTS2	16
B4GALNT3	16
BEST3	16
BLTP3B	16
BRMS1L	16
C12orf42	16
CA12	16
CD2AP	16
CEP192	16
CHD2	16
CPSF2	16
DENND1C	16
DHRS4L1	16
DIAPH3	16
DLEU1	16
DTX3L	16
ENTPD3-AS1	16
ERC2	16
EXOC4	16
EXTL3	16
FANCC	16
FENDRR	16
FSTL4	16
ITGBL1	16
LDLRAD3	16
LGALS4	16
LHX9	16
LINGO1	16
LNCRNA-IUR	16
LOXL2	16
MACIR	16
MAN1A2	16
MARK4	16
MPND	16
MPZL2	16
MS4A1	16
MSH5	16
NEBL	16
NOTCH4	16
NTNG2	16
NXN	16
PREP	16
RAPGEF4	16
RASGRP4	16
RIMS2	16
RNF5	16
SEMA6A-AS1	16
SPTLC2	16
SYNE1	16
TPPP	16
TSC22D1	16
TTN-AS1	16
TVP23B	16
ZSWIM8	16
ADAMTS19	15
AHI1-DT	15
ANKRD36BP2	15
ANLN	15
ANO3	15
BTBD2	15
BTBD9	15
C11orf65	15
CCDC200	15
CRISPLD2	15
CSMD2	15
EFCAB13-DT	15
ENTREP2	15
FAF2	15
FAM85B	15
FHIP1A	15
FMNL2	15
GPLD1	15
KIAA0586	15
KIAA0930	15
KRT18P55	15
LINC00910	15
LINC02177	15
LINC02277	15
MED13L	15
NSUN6	15
NTNG1	15
PAN3	15
