Outcome	MR_Bonferroni_significant	LDSC_Bonferroni_significant	LDSC_estimable	MR_pleiotropy_warning	MR_heterogeneity_warning	LDSC_h2_warning	pattern
Allergic rhinitis	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
Bronchiectasis	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NEITHER_SIGNIFICANT
Eosinophilic disease	FALSE	NA	FALSE	TRUE	FALSE	TRUE	LDSC_NOT_ESTIMABLE
BMI IRN	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
NAFLD	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
CRP	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NEITHER_SIGNIFICANT
ALT	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
AST	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NEITHER_SIGNIFICANT
GGT	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
HDL cholesterol	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
LDL cholesterol	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NEITHER_SIGNIFICANT
Fasting triglycerides	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	LDSC_SIGNIFICANT_MR_NOT_SIGNIFICANT
