section	metric	value	units	source_file	source_column	source_row_or_filter	rounded_display_value	notes	unit	row_or_contrast	formatted_value
"3.2"	"Input GWAS"	"12"	"studies"	"results/gwama/asthma_meta.log.out"	"Study count"	"Study count line"	"12"	""	NA	NA	NA
"3.2"	"Variants analysed"	"34316972"	"variants"	"results/gwama/heterogeneity_summary.txt"	"value"	"Total SNPs in GWAMA output"	"34,316,972"	""	NA	NA	NA
"3.2"	"Variants with P < 5e-8"	"50764"	"variants"	"results/gwama/genome_wide_significant.txt"	"rows"	"excluding header"	"50,764"	""	NA	NA	NA
"3.2"	"Project-significant variants"	"39933"	"variants"	"results/gwama/asthma_fixed_for_plink_clumping_mapping_summary.txt"	"Value"	"P <= 5e-9 row"	"39,933"	""	NA	NA	NA
"3.2"	"Top SNP"	"rs9273374"	"SNP"	"results/gwama/top20_signals.txt"	"rs_number"	"minimum P row"	"rs9273374"	""	NA	NA	NA
"3.2"	"Top beta"	"-0.153052"	"beta"	"results/gwama/top20_signals.txt"	"beta"	"minimum P row"	"-0.153052"	""	NA	NA	NA
"3.2"	"Top SE"	"0.004504"	"SE"	"results/gwama/top20_signals.txt"	"se"	"minimum P row"	"0.004504"	""	NA	NA	NA
"3.2"	"Top P"	"5.22e-253"	"P"	"results/gwama/top20_signals.txt"	"p-value"	"minimum P row"	"5.22 × 10^-253"	""	NA	NA	NA
"3.2"	"Top SNP chromosome"	"6"	"chromosome"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"rs9273374_GRCh38"	"6"	"Corrected GRCh38 coordinate; clumping used the older GRCh37 reference coordinate"	NA	NA	NA
"3.2"	"Top SNP GRCh38 position"	"32658837"	"bp"	"results/mr/finngen/qc/exposure_coordinate_repair_qc.tsv"	"value"	"rs9273374_GRCh38"	"32,658,837"	"PLINK/reference-panel coordinate was 32,626,614 (GRCh37)"	NA	NA	NA
"3.2"	"lambda_GC"	"1.3171038076398"	"ratio"	"results/gwama/lambda_gc.txt"	"value"	"Lambda GC"	"1.3171"	""	NA	NA	NA
"3.3"	"Variants with I2 >= 0.75"	"229395"	"variants"	"results/gwama/heterogeneity_summary.txt"	"value"	"I2 >= 0.75"	"229,395"	""	NA	NA	NA
"3.3"	"Percentage with I2 >= 0.75"	"0.668"	"percent"	"results/gwama/heterogeneity_summary.txt"	"value"	"I2 >= 0.75 percentage"	"0.668%"	""	NA	NA	NA
"3.3"	"Cochran Q P < 0.05"	"966173"	"variants"	"results/gwama/heterogeneity_summary.txt"	"value"	"Q p-value < 0.05"	"966,173"	""	NA	NA	NA
"3.3"	"Cochran Q P < 0.05 percentage"	"2.815"	"percent"	"results/gwama/heterogeneity_summary.txt"	"value"	"Q p-value < 0.05 percentage"	"2.815%"	""	NA	NA	NA
"3.4"	"Sentinel SNPs"	"1563"	"count"	"results/pruning/asthma_fixed_sentinels_clean.txt"	"rows"	"Sentinel SNPs"	"1,563"	""	NA	NA	NA
"3.4"	"Merged loci"	"405"	"count"	"results/loci/loci_summary.txt"	"Value"	"Merged loci"	"405"	""	NA	NA	NA
"3.4"	"Median locus width"	"4674582"	"bp"	"results/loci/loci_summary.txt"	"Value"	"Median locus width"	"4,674,582"	""	NA	NA	NA
"3.4"	"Mean locus width"	"6047095"	"bp"	"results/loci/loci_summary.txt"	"Value"	"Mean locus width"	"6,047,095"	""	NA	NA	NA
"3.4"	"Largest locus"	"24489380"	"bp"	"results/loci/loci_summary.txt"	"Value"	"Largest locus"	"24,489,380"	""	NA	NA	NA
