Outcome	FinnGen_matched_SNPs	Entering_harmonisation	Palindromic_ambiguous_removed	Final_MR_ready_SNPs	Retention_percent
Allergic rhinitis	810	810	158	652	80.4938271604938
Bronchiectasis	810	810	158	652	80.4938271604938
Eosinophilic disease	810	810	158	652	80.4938271604938
BMI (inverse-rank normalized)	810	810	158	652	80.4938271604938
NAFLD	810	810	158	652	80.4938271604938
CRP	797	797	156	641	80.426599749059
ALT	798	798	156	642	80.4511278195489
AST	773	773	150	623	80.5950840879689
GGT	796	796	155	641	80.5276381909548
HDL cholesterol	798	798	156	642	80.4511278195489
LDL cholesterol	798	798	156	642	80.4511278195489
Triglycerides (fasting)	797	797	156	641	80.426599749059
