Outcome	n_SNPs	IVW_beta	SE	Lower_95CI	Upper_95CI	P	OR	OR_lower_95CI	OR_upper_95CI	Bonferroni_P	FDR_P
Allergic rhinitis	652	0.000620712080544741	0.000973801865307224	-0.00128793957545742	0.0025293637365469	0.523857125177319	1.00062090476215	0.998712889462762	1.00253256527572	1	0.785785687765979
Bronchiectasis	652	0.000842130210195404	0.00122103776688157	-0.00155110381289247	0.00323536423328327	0.490392930343358	1.0008424849014	0.998450098526895	1.00324060367312	1	0.785785687765979
Eosinophilic disease	652	0.000145597349940325	0.00270674242874457	-0.00515961781039902	0.00545081251027967	0.957101983881824	1.00014560794975	0.994853670154147	1.00546569521745	1	0.957101983881824
BMI (inverse-rank normalized)	652	-0.000217175347883562	0.000166409397584385	-0.000543337767148956	0.000108987071381832	0.191870168256249	NA	NA	NA	1	0.785785687765979
NAFLD	652	-9.63147371930543e-05	0.00103165834224751	-0.00211836508799817	0.00192573561361206	0.925618249030925	0.999903689900922	0.997883877063813	1.00192759103326	1	0.957101983881824
CRP	641	-0.000201702307536281	0.000125882720136605	-0.000448432439004026	4.5027823931464e-05	0.109088539366306	NA	NA	NA	1	0.785785687765979
ALT	642	0.000129384739787473	0.00016646411655694	-0.00019688492866413	0.000455654408239076	0.437009497895474	NA	NA	NA	1	0.785785687765979
AST	623	-0.000204128417726959	0.000236521068632343	-0.000667709712246352	0.000259452876792433	0.388112511845959	NA	NA	NA	1	0.785785687765979
GGT	641	0.000147629075141017	0.000173987324118872	-0.000193386080131972	0.000488644230414006	0.396156914851143	NA	NA	NA	1	0.785785687765979
HDL cholesterol	642	-9.28083117096095e-05	0.000212500536423005	-0.0005093093630987	0.000323692739679481	0.66229709258839	NA	NA	NA	1	0.883062790117853
LDL cholesterol	642	-0.000196007395861295	0.000255742729498248	-0.000697263145677862	0.000305248353955271	0.4434239868505	NA	NA	NA	1	0.785785687765979
Triglycerides (fasting)	641	-1.99703846322911e-05	0.000270615945307765	-0.00055037763743551	0.000510436868170928	0.941172679505121	NA	NA	NA	1	0.957101983881824
