Outcome	MR IVW beta	MR P	MR interpretation flag	LDSC rg	LDSC 95% CI	LDSC P	LDSC interpretation flag
Allergic rhinitis	6e-04	0.524	No primary MR evidence	0.711	0.604 to 0.819	1.3e-38	Significant genetic correlation
Bronchiectasis	8e-04	0.49	No primary MR evidence	0.147	-0.031 to 0.326	0.106	No significant genetic correlation
Eosinophilic disease	1e-04	0.957	No primary MR evidence	—	—	—	Not estimable
BMI IRN	-2e-04	0.192	No primary MR evidence	0.193	0.144 to 0.242	1.8e-14	Significant genetic correlation
NAFLD	-1e-04	0.926	No primary MR evidence	0.229	0.085 to 0.373	0.0018	Significant genetic correlation
CRP	-2e-04	0.109	No primary MR evidence	-0.072	-0.196 to 0.053	0.259	No significant genetic correlation
ALT	1e-04	0.437	No primary MR evidence	0.134	0.080 to 0.188	1.26e-06	Significant genetic correlation
AST	-2e-04	0.388	No primary MR evidence	0.006	-0.086 to 0.099	0.89	No significant genetic correlation
GGT	1e-04	0.396	No primary MR evidence	0.133	0.074 to 0.193	1.24e-05	Significant genetic correlation
HDL cholesterol	-1e-04	0.662	No primary MR evidence	-0.133	-0.196 to -0.069	4.18e-05	Significant genetic correlation
LDL cholesterol	-2e-04	0.443	No primary MR evidence	-0.066	-0.153 to 0.021	0.138	No significant genetic correlation
Fasting triglycerides	0	0.941	No primary MR evidence	0.110	0.057 to 0.162	3.9e-05	Significant genetic correlation
