trait	exit_status	console_log	ldsc_log
asthma	0	results/ldsc/h2/asthma.console.log	results/ldsc/h2/asthma.log
allergic_rhinitis	0	results/ldsc/h2/allergic_rhinitis.console.log	results/ldsc/h2/allergic_rhinitis.log
bronchiectasis	0	results/ldsc/h2/bronchiectasis.console.log	results/ldsc/h2/bronchiectasis.log
eosinophilic_disease	0	results/ldsc/h2/eosinophilic_disease.console.log	results/ldsc/h2/eosinophilic_disease.log
bmi_irn	0	results/ldsc/h2/bmi_irn.console.log	results/ldsc/h2/bmi_irn.log
nafld	0	results/ldsc/h2/nafld.console.log	results/ldsc/h2/nafld.log
crp	0	results/ldsc/h2/crp.console.log	results/ldsc/h2/crp.log
alt	0	results/ldsc/h2/alt.console.log	results/ldsc/h2/alt.log
ast	0	results/ldsc/h2/ast.console.log	results/ldsc/h2/ast.log
ggt	0	results/ldsc/h2/ggt.console.log	results/ldsc/h2/ggt.log
hdl	0	results/ldsc/h2/hdl.console.log	results/ldsc/h2/hdl.log
ldl	0	results/ldsc/h2/ldl.console.log	results/ldsc/h2/ldl.log
triglycerides_fasting	0	results/ldsc/h2/triglycerides_fasting.console.log	results/ldsc/h2/triglycerides_fasting.log
