file	UKBB.asthma-2.assoc	ukb.allasthma.final.assoc	HanY_prePMID_asthma_UKBB.txt.gz	Shrine_30552067_moderate-severe_asthma.txt.gz	495_PheCode.v1.0.fastGWA.tsv	asthma_DISCOVERY.tsv	GCST90029018_buildGRCh37.tsv	GCST90077671_buildGRCh38.tsv	GCST90077672_buildGRCh38.tsv	GCST90079456_buildGRCh38.tsv	GCST90080141_buildGRCh38.tsv	GCST90081448_buildGRCh38.tsv
UKBB.asthma-2.assoc	DEFINITE	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
ukb.allasthma.final.assoc	LIKELY	DEFINITE	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
HanY_prePMID_asthma_UKBB.txt.gz	LIKELY	LIKELY	DEFINITE	POSSIBLE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
Shrine_30552067_moderate-severe_asthma.txt.gz	POSSIBLE	POSSIBLE	POSSIBLE	DEFINITE	POSSIBLE	POSSIBLE	POSSIBLE	POSSIBLE	POSSIBLE	POSSIBLE	POSSIBLE	POSSIBLE
495_PheCode.v1.0.fastGWA.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	DEFINITE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
asthma_DISCOVERY.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	DEFINITE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
GCST90029018_buildGRCh37.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	DEFINITE	LIKELY	LIKELY	LIKELY	LIKELY	LIKELY
GCST90077671_buildGRCh38.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	DEFINITE	DEFINITE	DEFINITE	DEFINITE	DEFINITE
GCST90077672_buildGRCh38.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	DEFINITE	DEFINITE	DEFINITE	DEFINITE	DEFINITE
GCST90079456_buildGRCh38.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	DEFINITE	DEFINITE	DEFINITE	DEFINITE	DEFINITE
GCST90080141_buildGRCh38.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	DEFINITE	DEFINITE	DEFINITE	DEFINITE	DEFINITE
GCST90081448_buildGRCh38.tsv	LIKELY	LIKELY	LIKELY	POSSIBLE	LIKELY	LIKELY	LIKELY	DEFINITE	DEFINITE	DEFINITE	DEFINITE	DEFINITE
