Trait	Raw_variants	HM3_premunging_variants	Final_munged_SNPs	HM3_coverage_percent	Munging_retention_percent	Mean_chi_square	Lambda_GC	Max_chi_square	N	Status
Asthma	13405796	1183793	1165303	99.700509	98.438072	1.45	1.278	268.266	339345	PASS
Allergic rhinitis	21326909	1174992	1150246	98.959278	97.893943	1.208	1.172	81.864	489568	PASS
Bronchiectasis	21325685	1174992	1150292	98.959278	97.897858	1.04	1.041	30.157	409082	PASS
Eosinophilic disease	21320800	1174992	1150253	98.959278	97.894539	1.004	1.001	22.819	264712	PASS
BMI IRN	21324894	1174992	1150369	98.959278	97.904411	3.091	2.535	1464.232	362216	PASS
NAFLD	21327043	1174992	1150250	98.959278	97.894284	1.089	1.068	364.321	500186	PASS
CRP	19973695	1174861	1150290	98.948245	97.908604	1.139	1.129	305.088	319548	PASS
ALT	20018398	1174831	1150155	98.945719	97.899613	2.399	1.704	1477.879	413996	PASS
AST	19477698	1174736	1150354	98.937718	97.924470	1.26	1.196	338.816	124818	PASS
GGT	19915272	1174829	1150388	98.945550	97.919612	2.022	1.634	1073.36	257813	PASS
HDL cholesterol	19999259	1174820	1150113	98.944792	97.896954	3.683	2.402	1480.885	361195	PASS
LDL cholesterol	20003113	1174868	1150126	98.948835	97.894061	1.733	1.385	1400.913	368976	PASS
Fasting triglycerides	19992450	1174803	1150108	98.943360	97.897945	2.994	2.093	1435.202	347199	PASS
