outcome	asthma_SNPs	outcome_SNPs	shared_SNPs	percent_asthma_shared	percent_outcome_shared
Allergic rhinitis	1165303	1150246	1140722	97.890592	99.172003
Bronchiectasis	1165303	1150292	1140768	97.894539	99.172036
Eosinophilic disease	1165303	1150253	1140722	97.890592	99.171400
BMI IRN	1165303	1150369	1140840	97.900718	99.171657
NAFLD	1165303	1150250	1140723	97.890677	99.171745
CRP	1165303	1150290	1140759	97.893767	99.171426
ALT	1165303	1150155	1140621	97.881924	99.171068
AST	1165303	1150354	1140811	97.898229	99.170429
GGT	1165303	1150388	1140867	97.903035	99.172366
HDL cholesterol	1165303	1150113	1140576	97.878063	99.170777
LDL cholesterol	1165303	1150126	1140582	97.878578	99.170178
Fasting triglycerides	1165303	1150108	1140574	97.877891	99.171034
