trait	trait_type	release	N	cases	controls	munged_SNPs	regression_SNPs	h2_obs	h2_se	h2_z	h2_p	lambda_gc	mean_chisq	intercept	intercept_se	ratio	ratio_se	warning	run_status
Asthma	case_control	GCST90302886	339345	48623	290722	1165303	1165303	0.042299999999999997	0.0040000000000000001	10.574999999999999	3.8917750000541562e-26	1.2798	1.4501999999999999	1.1084000000000001	0.0123	0.2407	0.027199999999999998		PASS
Allergic rhinitis	case_control	R13	489568	15958	473610	1150246	1150246	0.0103	0.0015	6.8666666666666663	6.5719386225292058e-12	1.1715	1.2079	1.0838000000000001	0.0094999999999999998	0.40300000000000002	0.0458		PASS
Bronchiectasis	case_control	R13	409082	3096	405986	1150292	1150292	0.0028	0.001	2.7999999999999998	0.0051102606608558641	1.0405	1.0404	1.0143	0.0068999999999999999	0.3548	0.1701		PASS
Eosinophilic disease	case_control	R13	264712	571	264141	1150253	1150253	-0.00040000000000000002	0.0012999999999999999	-0.30769230769230771	0.75831647352629039	1.0016	1.0044	1.0033000000000001	0.0067000000000000002	0.75329999999999997	1.5197000000000001	Premunging LDSC warning: WARNING: mean chi^2 may be too small.	PASS
BMI IRN	continuous	R13	362216	NA	NA	1150369	1150369	0.18279999999999999	0.0094999999999999998	19.242105263157896	1.6439388760005316e-82	2.5356999999999998	3.0911	1.6628000000000001	0.029100000000000001	0.317	0.013899999999999999		PASS
NAFLD	case_control	R13	500186	3943	496243	1150250	1150250	0.0048999999999999998	0.0011000000000000001	4.4545454545454541	8.4071117079262963e-06	1.0679000000000001	1.0889	1.0313000000000001	0.0077999999999999996	0.35260000000000002	0.087300000000000003		PASS
CRP	continuous	R12	319548	NA	NA	1150290	1150290	0.0071999999999999998	0.0018	4	6.3342483666239727e-05	1.1301000000000001	1.1391	1.0823	0.0095999999999999992	0.59150000000000003	0.068699999999999997		PASS
ALT	continuous	R12	413996	NA	NA	1150155	1150155	0.115	0.029999999999999999	3.8333333333333335	0.00012641846373680505	1.7023999999999999	2.3986000000000001	1.405	0.025100000000000001	0.28960000000000002	0.017899999999999999		PASS
AST	continuous	R12	124818	NA	NA	1150354	1150354	0.055	0.0086	6.3953488372093021	1.6018123911439102e-10	1.1973	1.2596000000000001	1.0914999999999999	0.012800000000000001	0.35249999999999998	0.049399999999999999		PASS
GGT	continuous	R12	257813	NA	NA	1150388	1150388	0.1188	0.014500000000000001	8.1931034482758616	2.545751885576708e-16	1.6334	2.0219999999999998	1.3633999999999999	0.028299999999999999	0.35560000000000003	0.027699999999999999		PASS
HDL cholesterol	continuous	R12	361195	NA	NA	1150113	1150113	0.23599999999999999	0.0292	8.0821917808219172	6.3612960594676001e-16	2.4005999999999998	3.6825999999999999	1.8366	0.045999999999999999	0.31190000000000001	0.017100000000000001		PASS
LDL cholesterol	continuous	R12	368976	NA	NA	1150126	1150126	0.064600000000000005	0.012699999999999999	5.0866141732283472	3.6451231866582959e-07	1.3858999999999999	1.7332000000000001	1.2422	0.025999999999999999	0.33029999999999998	0.035499999999999997		PASS
Fasting triglycerides	continuous	R12	347199	NA	NA	1150108	1150108	0.18709999999999999	0.023400000000000001	7.9957264957264949	1.2881204189948546e-15	2.0939999999999999	2.9940000000000002	1.6075999999999999	0.038199999999999998	0.30470000000000003	0.019099999999999999		PASS
