trait	input_HM3_rows	output_SNPs	percent_retained	variants_removed_missing	variants_removed_info	variants_removed_maf	variants_removed_p	variants_removed_alleles	variants_removed_duplicates	strand_ambiguous_removed	mean_chisq	lambda_gc	max_chisq	N	munge_exit_status	validation_status	warning
Asthma	1183793	1165303	98.438072	0	0	18486	0	0	0	4	1.45	1.278	268.266	339345	0	PASS	
Allergic rhinitis	1174992	1150246	97.893943	0	0	24742	0	0	0	4	1.208	1.172	81.864	489568	0	PASS	
Bronchiectasis	1174992	1150292	97.897858	0	0	24696	0	0	0	4	1.04	1.041	30.157	409082	0	PASS	
Eosinophilic disease	1174992	1150253	97.894539	0	0	24735	0	0	0	4	1.004	1.001	22.819	264712	0	PASS	WARNING: mean chi^2 may be too small.
BMI IRN	1174992	1150369	97.904411	0	0	24619	0	0	0	4	3.091	2.535	1464.232	362216	0	PASS	
NAFLD	1174992	1150250	97.894284	0	0	24738	0	0	0	4	1.089	1.068	364.321	500186	0	PASS	
CRP	1174861	1150290	97.908604	0	0	24567	0	0	0	4	1.139	1.129	305.088	319548	0	PASS	
ALT	1174831	1150155	97.899613	0	0	24672	0	0	0	4	2.399	1.704	1477.879	413996	0	PASS	
AST	1174736	1150354	97.924470	0	0	24378	0	0	0	4	1.26	1.196	338.816	124818	0	PASS	
GGT	1174829	1150388	97.919612	0	0	24437	0	0	0	4	2.022	1.634	1073.36	257813	0	PASS	
HDL cholesterol	1174820	1150113	97.896954	0	0	24703	0	0	0	4	3.683	2.402	1480.885	361195	0	PASS	
LDL cholesterol	1174868	1150126	97.894061	0	0	24738	0	0	0	4	1.733	1.385	1400.913	368976	0	PASS	
Fasting triglycerides	1174803	1150108	97.897945	0	0	24691	0	0	0	4	2.994	2.093	1435.202	347199	0	PASS	
