trait	source_file	release	trait_type	N	cases	controls	raw_variant_count	canonical_rsid_count	HM3_identifier_matches	HM3_exact_allele_matches	palindromic_SNPs	duplicate_SNPs	missing_beta	missing_SE	invalid_SE	missing_P	invalid_P	missing_A1	missing_A2	missing_FRQ	invalid_FRQ	final_premunge_count	percent_HM3_coverage	status	notes	coordinate_matches	exact_REF_ALT_matches	reversed_REF_ALT_candidates	unmapped_rows	mapping_conflicts
Asthma	data/raw/asthma_DISCOVERY.tsv	GCST90302886	case_control	339345	48623	290722	13405796	12811507	1184237	1183793	4	0	0	0	0	0	0	0	0	0	0	1183793	99.70050928581234	ready	BETA is aligned to effect_allele (A1); variant-specific N preserved (expected 339345). Counts for missing/invalid fields are among direct HM3 identifier matches.	0	0	0	0	0
Allergic rhinitis	data/finngen/r13_disease/finngen_R13_ALLERG_RHINITIS.gz	R13	case_control	489568	15958	473610	21326909	20433312	1178140	1174992	4	0	0	0	0	0	0	0	0	0	0	1174992	98.95927819032147	ready	ALT is beta-aligned A1; REF is A2; constant phenotype-level N used. Field QC counts are among HM3 identifier/allele candidates.	0	0	0	0	0
Bronchiectasis	data/finngen/r13_disease/finngen_R13_J10_BRONCHIECTASIS.gz	R13	case_control	409082	3096	405986	21325685	20432182	1178140	1174992	4	0	0	0	0	0	0	0	0	0	0	1174992	98.95927819032147	ready	ALT is beta-aligned A1; REF is A2; constant phenotype-level N used. Field QC counts are among HM3 identifier/allele candidates.	0	0	0	0	0
Eosinophilic disease	data/finngen/r13_disease/finngen_R13_EOSINOPHIL_DISEASE.gz	R13	case_control	264712	571	264141	21320800	20427627	1178139	1174992	4	0	0	0	0	0	0	0	0	0	0	1174992	98.95927819032147	ready	ALT is beta-aligned A1; REF is A2; constant phenotype-level N used. Field QC counts are among HM3 identifier/allele candidates.	0	0	0	0	0
BMI IRN	data/finngen/r13_disease/finngen_R13_BMI_IRN.gz	R13	continuous	362216	NA	NA	21324894	20431463	1178140	1174992	4	0	0	0	0	0	0	0	0	0	0	1174992	98.95927819032147	ready	ALT is beta-aligned A1; REF is A2; constant phenotype-level N used. Field QC counts are among HM3 identifier/allele candidates.	0	0	0	0	0
NAFLD	data/finngen/r13_disease/finngen_R13_NAFLD.gz	R13	case_control	500186	3943	496243	21327043	20433437	1178140	1174992	4	0	0	0	0	0	0	0	0	0	0	1174992	98.95927819032147	ready	ALT is beta-aligned A1; REF is A2; constant phenotype-level N used. Field QC counts are among HM3 identifier/allele candidates.	0	0	0	0	0
CRP	data/finngen/lab_values/finngen_R12_CRP_3020460.gz	R12	continuous	319548	NA	NA	19973695	1174861	1174861	1174861	4	0	0	0	0	0	0	0	0	0	0	1174861	98.94824520844335	ready	Exact GRCh38 chrom/pos/REF/ALT map only; reversed candidates reported but not transformed. ALT is beta-aligned A1; REF is A2.	1174861	1174861	0	18798834	0
ALT	data/finngen/lab_values/finngen_R12_ALT_3006923.gz	R12	continuous	413996	NA	NA	20018398	1174881	1174881	1174881	4	0	0	0	0	0	0	0	0	0	0	1174831	98.94571857137203	ready	Exact GRCh38 chrom/pos/REF/ALT map only; reversed candidates reported but not transformed. ALT is beta-aligned A1; REF is A2. Underflow recovery reviewed: 0 P=0 rows reconstructed from official mlogp; 50 unrepresentable/invalid rows explicitly excluded; no flooring.	1174881	1174881	0	18843517	0
AST	data/finngen/lab_values/finngen_R12_AST_3013721.gz	R12	continuous	124818	NA	NA	19477698	1174736	1174736	1174736	4	0	0	0	0	0	0	0	0	0	0	1174736	98.9377175539795	ready	Exact GRCh38 chrom/pos/REF/ALT map only; reversed candidates reported but not transformed. ALT is beta-aligned A1; REF is A2.	1174736	1174736	0	18302962	0
GGT	data/finngen/lab_values/finngen_R12_GGT_3026910.gz	R12	continuous	257813	NA	NA	19915272	1174840	1174840	1174840	4	0	0	0	0	0	0	0	0	0	0	1174829	98.9455501289006	ready	Exact GRCh38 chrom/pos/REF/ALT map only; reversed candidates reported but not transformed. ALT is beta-aligned A1; REF is A2. Underflow recovery reviewed: 0 P=0 rows reconstructed from official mlogp; 11 unrepresentable/invalid rows explicitly excluded; no flooring.	1174840	1174840	0	18740432	0
