outcome	rg	rg_se	rg_z	rg_p	genetic_covariance	genetic_covariance_se	cross_trait_intercept	cross_trait_intercept_se	cross_trait_intercept_z	SNPs	asthma_h2_pairwise	outcome_h2_pairwise	pairwise_h2_material_discrepancy	warning	run_status
Allergic rhinitis	0.7114	0.0547	12.9952	1.3027e-38	0.0153	0.0017	0.0307	0.0072	4.263888888888889	1140722	0.0444	0.0104	False		PASS
Bronchiectasis	0.1474	0.0911	1.6178	0.1057	0.0016	0.001	0.0136	0.0051	2.6666666666666665	1140768	0.0445	0.0028	False	MODERATE_H2_CAUTION	PASS
BMI IRN	0.193	0.0252	7.6641	1.8007e-14	0.0179	0.0022	0.0018	0.0077	0.23376623376623376	1140840	0.0444	0.1925	False		PASS
NAFLD	0.2287	0.0734	3.1174	0.0018	0.0032	0.0009	-0.0028	0.0052	-0.5384615384615384	1140723	0.0444	0.0044	False		PASS
CRP	-0.0717	0.0635	-1.1288	0.259	-0.0013	0.0011	0.0053	0.0051	1.0392156862745097	1140759	0.0445	0.007	False	MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
ALT	0.134	0.0276	4.8457	1.2614e-06	0.0092	0.0016	-0.0059	0.0072	-0.8194444444444444	1140621	0.0445	0.1063	False	MODERATE_H2_CAUTION; MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
AST	0.0065	0.0473	0.1378	0.8904	0.0003	0.0023	-0.0025	0.006	-0.4166666666666667	1140811	0.0444	0.0515	False	MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
GGT	0.1334	0.0305	4.3712	1.2357e-05	0.0093	0.0021	0.0082	0.007	1.1714285714285715	1140867	0.0444	0.1085	False	MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
HDL cholesterol	-0.1329	0.0324	-4.097	4.1846e-05	-0.0113	0.0029	0.015	0.01	1.5	1140576	0.0444	0.1623	True	PAIRWISE_H2_REVIEW: outcome h2 0.1623 vs univariate 0.236; MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
LDL cholesterol	-0.0657	0.0443	-1.4829	0.1381	-0.0026	0.0017	0.0081	0.0062	1.3064516129032258	1140582	0.0444	0.0342	True	PAIRWISE_H2_REVIEW: outcome h2 0.0342 vs univariate 0.0646; MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
Fasting triglycerides	0.1096	0.0266	4.1135	3.8962e-05	0.0092	0.002	0.0012	0.0087	0.13793103448275862	1140574	0.0444	0.1602	False	MIXED_MODEL_EFFECTIVE_N_CAVEAT	PASS
