outcome	exit_status	console_log	ldsc_log
allergic_rhinitis	0	results/ldsc/rg/allergic_rhinitis.console.log	results/ldsc/rg/allergic_rhinitis.log
bronchiectasis	0	results/ldsc/rg/bronchiectasis.console.log	results/ldsc/rg/bronchiectasis.log
bmi_irn	0	results/ldsc/rg/bmi_irn.console.log	results/ldsc/rg/bmi_irn.log
nafld	0	results/ldsc/rg/nafld.console.log	results/ldsc/rg/nafld.log
crp	0	results/ldsc/rg/crp.console.log	results/ldsc/rg/crp.log
alt	0	results/ldsc/rg/alt.console.log	results/ldsc/rg/alt.log
ast	0	results/ldsc/rg/ast.console.log	results/ldsc/rg/ast.log
ggt	0	results/ldsc/rg/ggt.console.log	results/ldsc/rg/ggt.log
hdl	0	results/ldsc/rg/hdl.console.log	results/ldsc/rg/hdl.log
ldl	0	results/ldsc/rg/ldl.console.log	results/ldsc/rg/ldl.log
triglycerides_fasting	0	results/ldsc/rg/triglycerides_fasting.console.log	results/ldsc/rg/triglycerides_fasting.log
