metric	value
primary_mr_direction	Asthma -> Diastolic blood pressure
supervisor_plan	Use already LD-clumped asthma signals; do not clump again using TwoSampleMR
exposure_snps_before_harmonisation	5254
dbp_outcome_rows_before_harmonisation	889
unique_dbp_outcome_snps_before_harmonisation	889
exposure_snps_without_dbp_outcome_before_harmonisation	4365
outcome_rows_not_harmonised	9
snps_retained_after_harmonisation	880
snps_removed_during_harmonisation	166
mr_keep_true_rows	714
mr_keep_false_rows	166
palindromic_snps_removed	166
ambiguous_snps_removed	166
final_usable_mr_instruments	714
additional_twosamplemr_clumping_performed	No
