metric	value
primary_mr_direction	Asthma -> LDL cholesterol
supervisor_plan	Use already LD-clumped asthma signals; do not clump again using TwoSampleMR
exposure_snps_before_harmonisation	5254
ldl_outcome_rows_before_harmonisation	1026
unique_ldl_outcome_snps_before_harmonisation	1026
exposure_snps_without_ldl_outcome_before_harmonisation	4228
outcome_rows_not_harmonised	230
snps_retained_after_harmonisation	796
snps_removed_during_harmonisation	145
mr_keep_true_rows	651
mr_keep_false_rows	145
palindromic_snps_removed	145
ambiguous_snps_removed	145
final_usable_mr_instruments	651
additional_twosamplemr_clumping_performed	No
