metric	value
primary_mr_direction	Asthma -> Triglycerides
supervisor_plan	Use already LD-clumped asthma signals; do not clump again using TwoSampleMR
outcome_id	ieu-b-111
outcome_name	Triglycerides
total_asthma_exposure_snps	5254
non_rsid_snps_skipped	2
rsid_snps_queried	5252
triglycerides_outcome_rows_returned	1032
unique_triglycerides_outcome_snps_returned	1029
triglycerides_outcome_rows_used_for_mr	1026
unique_triglycerides_outcome_snps_used_for_mr	1026
direct_matches	883
proxy_matches	143
unmatched_queried_snps	4456
percentage_outcome_coverage	19.535
duplicate_exact_outcome_rows	0
duplicate_outcome_snp_rows	3
duplicate_outcome_snps_excluded	3
additional_twosamplemr_clumping_performed	No
