outcome	outcome_id	original_matched	corrected_matched	gain_in_snps	original_coverage_percent	corrected_coverage_percent	coverage_percentage_point_change	rsid_matches	coordinate_allele_matches
LDL cholesterol	3001308	783	798	15	14.9029311001142	15.1884278644842	0.285496764370002	0	798
ALT	3006923	783	798	15	14.9029311001142	15.1884278644842	0.285496764370002	0	798
AST	3013721	758	773	15	14.4271031594975	14.7125999238675	0.285496764370027	0	773
CRP	3020460	782	797	15	14.8838979824895	15.1693947468595	0.285496764370034	0	797
HDL cholesterol	3023602	783	798	15	14.9029311001142	15.1884278644842	0.285496764370002	0	798
GGT	3026910	781	796	15	14.8648648648649	15.1503616292349	0.285496764369968	0	796
Triglycerides (fasting)	3048773	782	797	15	14.8838979824895	15.1693947468595	0.285496764370034	0	797
Allergic rhinitis	ALLERG_RHINITIS	795	810	15	15.1313285116102	15.4168252759802	0.285496764370006	795	15
BMI (inverse-rank normalized)	BMI_IRN	795	810	15	15.1313285116102	15.4168252759802	0.285496764370006	795	15
Eosinophilic disease	EOSINOPHIL_DISEASE	795	810	15	15.1313285116102	15.4168252759802	0.285496764370006	795	15
Bronchiectasis	J10_BRONCHIECTASIS	795	810	15	15.1313285116102	15.4168252759802	0.285496764370006	795	15
NAFLD	NAFLD	795	810	15	15.1313285116102	15.4168252759802	0.285496764370006	795	15
