exposure	outcome	outcome_id	outcome_type	method	method_id	nsnp	beta	SE	p_value	beta_lower_95CI	beta_upper_95CI	OR	OR_lower_95CI	OR_upper_95CI	qc_pass	qc_message
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	Inverse variance weighted	mr_ivw	652	0.000620712080544741	0.000973801865307224	0.523857125177319	-0.00128793957545742	0.0025293637365469	1.00062090476215	0.998712889462762	1.00253256527572	TRUE	PASS
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	MR Egger	mr_egger_regression	652	-0.00089283853512164	0.000726497222373427	0.219530234384257	-0.00231677309097356	0.000531096020730277	0.999107559926607	0.997685908556481	1.00053123707719	TRUE	PASS
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	Weighted median	mr_weighted_median	652	-0.000150969814995864	0.000766527752656505	0.843864445958909	-0.00165336421020261	0.00135142458021088	0.999849041580373	0.998348001843438	1.00135233816591	TRUE	PASS
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	Simple mode	mr_simple_mode	652	-0.0107754565582296	0.097434844313319	0.911974446348806	-0.201747751412335	0.180196838295876	0.989282390710439	0.817301064981594	1.19745304454216	TRUE	PASS
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	Weighted mode	mr_weighted_mode	652	-0.0107754565582296	0.0903342318953625	0.905086912918125	-0.18783055107314	0.166279637956681	0.989282390710439	0.828755127002255	1.18090328093632	TRUE	PASS
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	Inverse variance weighted	mr_ivw	652	0.000842130210195404	0.00122103776688157	0.490392930343358	-0.00155110381289247	0.00323536423328327	1.0008424849014	0.998450098526895	1.00324060367312	TRUE	PASS
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	MR Egger	mr_egger_regression	652	0.000391970094706099	0.00121125706272887	0.746340407920698	-0.00198209374824248	0.00276603393765468	1.00039204692502	0.998019869302373	1.0027698629391	TRUE	PASS
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	Weighted median	mr_weighted_median	652	0.00117995947124045	0.00171297649981076	0.490926628380167	-0.00217747446838864	0.00453739341086954	1.00118065589731	0.997824894509367	1.00454770296729	TRUE	PASS
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	Simple mode	mr_simple_mode	652	-0.240907096296854	0.19212018013672	0.210314056166436	-0.617462649364825	0.135648456771116	0.785914637376966	0.539311124403671	1.14527920766762	TRUE	PASS
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	Weighted mode	mr_weighted_mode	652	-0.240907096296854	0.194326359203547	0.215531720766786	-0.621786760335807	0.139972567742098	0.785914637376966	0.536984117996682	1.15024224468252	TRUE	PASS
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	Inverse variance weighted	mr_ivw	652	0.000145597349940325	0.00270674242874457	0.957101983881824	-0.00515961781039902	0.00545081251027967	1.00014560794975	0.994853670154147	1.00546569521745	TRUE	PASS
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	MR Egger	mr_egger_regression	652	-0.000937428446245889	0.00267862973753881	0.726477828775669	-0.00618754273182196	0.00431268583933018	0.999063010802535	0.993831560689321	1.00432199885212	TRUE	PASS
