exposure	outcome	outcome_id	outcome_type	nsnp	egger_intercept	SE	p_value	p_egger_fdr	directional_pleiotropy_evidence
Asthma	Allergic rhinitis	ALLERG_RHINITIS	binary	652	0.0227901749587063	0.000990581458027609	3.85036755916676e-86	4.62044107100011e-85	TRUE
Asthma	Bronchiectasis	J10_BRONCHIECTASIS	binary	652	0.00675174694170948	0.00163845378791938	4.26390945471639e-05	0.000170556378188656	TRUE
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	652	0.0160999202753102	0.00358498421173664	8.39090308103799e-06	5.03454184862279e-05	TRUE
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	652	0.000248045818761495	0.000225486963638327	0.271719725853208	0.32606367102385	FALSE
Asthma	NAFLD	NAFLD	binary	652	0.00245863257149887	0.0013945682587822	0.0783692865885573	0.134347348437527	FALSE
Asthma	CRP	3020460	continuous	641	-0.000196192703469598	0.000170692691956618	0.250824662858425	0.32606367102385	FALSE
Asthma	ALT	3006923	continuous	642	-4.8739388892746e-05	0.000226546430350269	0.829726053595356	0.829726053595356	FALSE
Asthma	AST	3013721	continuous	623	-0.00103732831896115	0.000318363255715768	0.0011818936289587	0.00306834309944223	TRUE
Asthma	GGT	3026910	continuous	641	0.000127795521624332	0.000235985047464814	0.588323670816973	0.641807640891243	FALSE
Asthma	HDL cholesterol	3023602	continuous	642	0.000515765596761491	0.000289253810569272	0.0750454844854953	0.134347348437527	FALSE
Asthma	LDL cholesterol	3001308	continuous	642	-0.000384321031990269	0.000348756103944693	0.270886121761464	0.32606367102385	FALSE
Asthma	Triglycerides (fasting)	3048773	continuous	641	-0.001184886415553	0.000366253081016781	0.00127847629143426	0.00306834309944223	TRUE
