Outcome	n SNPs	IVW beta	IVW SE	95% CI	IVW p-value	OR (95% CI)	IVW heterogeneity p-value	MR-Egger intercept	MR-Egger intercept p-value	Leave-one-out sign change	Interpretation QC
Allergic rhinitis	652	0.00062071	0.0009738	-0.0012879 to 0.0025294	0.524	1.0006 (0.9987 to 1.0025)	4.88e-215	0.02279	3.85e-86	No	C
Bronchiectasis	652	0.00084213	0.001221	-0.0015511 to 0.0032354	0.49	1.0008 (0.9985 to 1.0032)	0.000373	0.0067517	4.26e-05	No	C
Eosinophilic disease	652	0.0001456	0.0027067	-0.0051596 to 0.0054508	0.957	1.0001 (0.9949 to 1.0055)	0.0832	0.0161	8.39e-06	Yes	C; D
BMI (inverse-rank normalized)	652	-0.00021718	0.00016641	-0.00054334 to 0.00010899	0.192	NA	1.69e-136	0.00024805	0.272	No	B
NAFLD	652	-9.6315e-05	0.0010317	-0.0021184 to 0.0019257	0.926	0.9999 (0.9979 to 1.0019)	0.0554	0.0024586	0.0784	Yes	D
CRP	641	-0.0002017	0.00012588	-0.00044843 to 4.5028e-05	0.109	NA	7.75e-11	-0.00019619	0.251	No	B
ALT	642	0.00012938	0.00016646	-0.00019688 to 0.00045565	0.437	NA	8.92e-180	-4.8739e-05	0.83	No	B
AST	623	-0.00020413	0.00023652	-0.00066771 to 0.00025945	0.388	NA	4.1e-42	-0.0010373	0.00118	No	C
GGT	641	0.00014763	0.00017399	-0.00019339 to 0.00048864	0.396	NA	2.52e-83	0.0001278	0.588	No	B
HDL cholesterol	642	-9.2808e-05	0.0002125	-0.00050931 to 0.00032369	0.662	NA	   0	0.00051577	0.075	No	B
LDL cholesterol	642	-0.00019601	0.00025574	-0.00069726 to 0.00030525	0.443	NA	   0	-0.00038432	0.271	No	B
Triglycerides (fasting)	641	-1.997e-05	0.00027062	-0.00055038 to 0.00051044	0.941	NA	   0	-0.0011849	0.00128	Yes	C; D
