outcome	outcome_id	outcome_type	ivw_beta	ivw_p_value	ivw_direction	mr_egger_beta	mr_egger_p_value	mr_egger_direction	weighted_median_beta	weighted_median_p_value	weighted_median_direction	simple_mode_beta	simple_mode_p_value	simple_mode_direction	weighted_mode_beta	weighted_mode_p_value	weighted_mode_direction
Allergic rhinitis	ALLERG_RHINITIS	binary	0.000620712080544741	0.523857125177319	positive	-0.00089283853512164	0.219530234384257	negative	-0.000150969814995864	0.843864445958909	negative	-0.0107754565582296	0.911974446348806	negative	-0.0107754565582296	0.905086912918125	negative
Bronchiectasis	J10_BRONCHIECTASIS	binary	0.000842130210195404	0.490392930343358	positive	0.000391970094706099	0.746340407920698	positive	0.00117995947124045	0.490926628380167	positive	-0.240907096296854	0.210314056166436	negative	-0.240907096296854	0.215531720766786	negative
Eosinophilic disease	EOSINOPHIL_DISEASE	binary	0.000145597349940325	0.957101983881824	positive	-0.000937428446245889	0.726477828775669	negative	0.000255250723116834	0.949786489648805	positive	-0.0559352055280824	0.879425701900198	negative	-0.0559352055280824	0.881045617079096	negative
BMI (inverse-rank normalized)	BMI_IRN	continuous	-0.000217175347883562	0.191870168256249	negative	-0.000233716890546036	0.162291750300762	negative	-0.000128751328174222	0.379838031486786	negative	0.0126577689416154	0.475529611755165	positive	0.0126577689416154	0.424143111482321	positive
NAFLD	NAFLD	binary	-9.63147371930543e-05	0.925618249030925	negative	-0.000260652319456782	0.801095624646606	negative	-1.91145673956523e-05	0.989381015725656	negative	-0.024561600074165	0.850061732114109	negative	-0.024561600074165	0.859843667445563	negative
CRP	3020460	continuous	-0.000201702307536281	0.109088539366306	negative	-0.000188614747678357	0.136031239299979	negative	2.15809176289995e-05	0.900006200875723	positive	-0.00437714502744927	0.412648863239577	negative	-0.00437714502744927	0.411891931891153	negative
ALT	3006923	continuous	0.000129384739787473	0.437009497895474	positive	0.000132631604014461	0.428119549022599	positive	2.86064762921781e-05	0.833638889490943	positive	-0.000877150669458919	0.885133942694217	negative	-0.000877150669458919	0.884352781116384	negative
AST	3013721	continuous	-0.000204128417726959	0.388112511845959	negative	-0.000135024978981353	0.56689181540799	negative	-1.7566361478985e-05	0.946310907095871	negative	0.00240513804325341	0.825877375191073	positive	0.00240513804325341	0.816039451741758	positive
GGT	3026910	continuous	0.000147629075141017	0.396156914851143	positive	0.000139111624587173	0.426404840219887	positive	0.000126292842174107	0.492325635821049	positive	0.00709073343029826	0.247494693850975	positive	-0.00672790090857767	0.24573892273336	negative
HDL cholesterol	3023602	continuous	-9.28083117096095e-05	0.66229709258839	negative	-0.000127116332331192	0.550878952858683	negative	-0.000112528530616488	0.447347470158314	negative	0.000827730440573396	0.936298456231096	positive	0.000827730440573396	0.937653991233798	positive
LDL cholesterol	3001308	continuous	-0.000196007395861295	0.4434239868505	negative	-0.000170455036015959	0.506995293577249	negative	-0.000149086480708138	0.334219986745381	negative	-0.00555061906377254	0.554891741392517	negative	-0.00555061906377254	0.546804109586457	negative
Triglycerides (fasting)	3048773	continuous	-1.99703846322911e-05	0.941172679505121	negative	5.88364874611898e-05	0.827402136613729	positive	-8.46941467360415e-05	0.609296102593955	negative	0.00419694046167799	0.584382801594967	positive	0.00419694046167799	0.584883737299352	positive
