outcome_label	outcome_name	outcome_id	outcome_type	method	number_of_snps	beta_estimate	standard_error	beta_lci95	beta_uci95	p_value
bmi	BMI	ieu-a-835	continuous	Inverse variance weighted	395	-0.0124362225567675	0.00773550463967357	-0.0275978116505277	0.00272536653699264	0.107905098103898
bmi	BMI	ieu-a-835	continuous	MR Egger	395	0.0126237630698428	0.0120652595084663	-0.0110241455667511	0.0362716717064366	0.296070139000371
bmi	BMI	ieu-a-835	continuous	Simple mode	395	-0.00172423963892891	0.0184240290172926	-0.0378353365128224	0.0343868572349646	0.925485237528218
bmi	BMI	ieu-a-835	continuous	Weighted median	395	-0.00344476193677942	0.0101967093268539	-0.0234303122174131	0.0165407883438542	0.735490737373499
bmi	BMI	ieu-a-835	continuous	Weighted mode	395	-0.00172423963892891	0.0119445313659002	-0.0251355211160932	0.0216870418382354	0.885294829154356
dbp	Diastolic blood pressure	ieu-b-5139	continuous	Inverse variance weighted	714	0.00433472366316287	0.031668512970768	-0.0577355617595424	0.0664050090858681	0.891127205020445
dbp	Diastolic blood pressure	ieu-b-5139	continuous	MR Egger	714	0.0183816946404262	0.0347475761193312	-0.0497235545534629	0.0864869438343154	0.596965795353247
dbp	Diastolic blood pressure	ieu-b-5139	continuous	Simple mode	714	0.167514059431705	0.127526897957813	-0.0824386605656084	0.417466779429018	0.189417289172827
dbp	Diastolic blood pressure	ieu-b-5139	continuous	Weighted median	714	0.00209888264366115	0.0183689876999932	-0.0339043332483255	0.0381020985356478	0.909029872986035
dbp	Diastolic blood pressure	ieu-b-5139	continuous	Weighted mode	714	0.0502959262039329	0.0502696511694823	-0.0482325900882523	0.148824442496118	0.317397054645987
hdl	HDL cholesterol	ieu-b-109	continuous	Inverse variance weighted	651	-0.00482814452481842	0.00347735273552637	-0.0116437558864501	0.00198746683681327	0.164998824428766
hdl	HDL cholesterol	ieu-b-109	continuous	MR Egger	651	-0.00512399385487424	0.00377020800945148	-0.0125136015533992	0.00226561384365067	0.174595043979341
hdl	HDL cholesterol	ieu-b-109	continuous	Simple mode	651	-0.0250814891118851	0.0114870289722592	-0.0475960658975132	-0.00256691232625706	0.0293586945476396
hdl	HDL cholesterol	ieu-b-109	continuous	Weighted median	651	-0.00270436282965876	0.00173951112930889	-0.00611380464310418	0.000705078983786667	0.120025085401749
hdl	HDL cholesterol	ieu-b-109	continuous	Weighted mode	651	-0.0066626510498422	0.0069220673339628	-0.0202299030244093	0.00690460092472489	0.336144737016784
ldl	LDL cholesterol	ieu-b-110	continuous	Inverse variance weighted	651	0.00897284807306313	0.00415512636636072	0.000828800394996127	0.0171168957511301	0.0308141450138799
ldl	LDL cholesterol	ieu-b-110	continuous	MR Egger	651	0.00305258854481465	0.00446092488174882	-0.00569082422341303	0.0117960013130423	0.494033183308514
ldl	LDL cholesterol	ieu-b-110	continuous	Simple mode	651	0.0255997993116882	0.0113048385293688	0.00344231579412534	0.0477572828292511	0.0238719695269454
ldl	LDL cholesterol	ieu-b-110	continuous	Weighted median	651	0.000469717343628423	0.00172513258131098	-0.0029115425157411	0.00385097720299795	0.785407515610292
ldl	LDL cholesterol	ieu-b-110	continuous	Weighted mode	651	0.0042492617287293	0.00818507017315477	-0.011793475810654	0.0202919992681126	0.603834341859417
sbp	Systolic blood pressure	ieu-b-5138	continuous	Inverse variance weighted	714	-0.0760071087052902	0.0483463317119103	-0.170765918860634	0.0187517014500541	0.115918533789989
sbp	Systolic blood pressure	ieu-b-5138	continuous	MR Egger	714	-0.00632556746338785	0.0527009283539621	-0.109619387037153	0.0969682521103778	0.904495121662916
sbp	Systolic blood pressure	ieu-b-5138	continuous	Simple mode	714	0.0769756836576526	0.166789149477667	-0.249931049318574	0.40388241663388	0.644569972467223
sbp	Systolic blood pressure	ieu-b-5138	continuous	Weighted median	714	-0.00525191223900711	0.0313373394447791	-0.0666730975507742	0.05616927307276	0.866903641452711
sbp	Systolic blood pressure	ieu-b-5138	continuous	Weighted mode	714	-0.107649038800936	0.0760820805870787	-0.256769916751611	0.0414718391497378	0.157532454833335
triglycerides	Triglycerides	ieu-b-111	continuous	Inverse variance weighted	651	0.0107700386409584	0.00382964747901302	0.0032639295820929	0.0182761476998239	0.00491917560797025
triglycerides	Triglycerides	ieu-b-111	continuous	MR Egger	651	0.00769128921915572	0.00413799606532493	-0.000419183068881134	0.0158017615071926	0.0635222937667024
triglycerides	Triglycerides	ieu-b-111	continuous	Simple mode	651	-0.00423175663375325	0.0103638739649992	-0.0245449496051516	0.0160814363376451	0.683174674229441
triglycerides	Triglycerides	ieu-b-111	continuous	Weighted median	651	0.00184664044280954	0.00170354502129985	-0.00149230779893818	0.00518558868455725	0.278365413153667
triglycerides	Triglycerides	ieu-b-111	continuous	Weighted mode	651	-0.00423175663375325	0.00566899620037129	-0.015342989186481	0.00687947591897448	0.455651204090405
