outcome	outcome_id	nsnp	original_ivw_beta	minimum_leave_one_out_beta	maximum_leave_one_out_beta	minimum_leave_one_out_p_value	maximum_leave_one_out_p_value	leave_one_out_sign_change	most_influential_snp	maximum_absolute_beta_change
Allergic rhinitis	ALLERG_RHINITIS	652	0.000620712080544741	0.000494578180191323	0.000944864660169237	0.362536376304687	0.618366234646613	FALSE	rs555284836	0.000324152579624496
Bronchiectasis	J10_BRONCHIECTASIS	652	0.000842130210195404	0.000512830516009197	0.00124282374616326	0.32471666731344	0.693481276802071	FALSE	rs551599729	0.000400693535967854
Eosinophilic disease	EOSINOPHIL_DISEASE	652	0.000145597349940325	-0.00072376227064895	0.00077720238730352	0.778891985637289	0.99607903880278	TRUE	rs138542223	0.000869359620589275
BMI (inverse-rank normalized)	BMI_IRN	652	-0.000217175347883562	-0.000242425739782351	-0.00012937138302274	0.156515819894426	0.435878911979793	FALSE	rs534820243	8.78039648608221e-05
NAFLD	NAFLD	652	-9.63147371930543e-05	-0.000362608510961266	0.000312624285272386	0.727967564990731	0.994229414698106	TRUE	rs551599729	0.000408939022465441
CRP	3020460	641	-0.000201702307536281	-0.000250382022992599	-0.000121572054266383	0.0608329924989546	0.346281158788847	FALSE	rs551258059	8.01302532698984e-05
ALT	3006923	642	0.000129384739787473	7.76839445758384e-05	0.000163549133405607	0.346574552667762	0.64638609692317	FALSE	rs45473596	5.17007952116347e-05
AST	3013721	623	-0.000204128417726959	-0.000247485423662392	-0.000141549297949638	0.297934489618426	0.57442957445018	FALSE	rs555284836	6.25791197773209e-05
GGT	3026910	641	0.000147629075141017	9.94300866838347e-05	0.000202555087429466	0.273748892477269	0.570569425857469	FALSE	rs555284836	5.49260122884488e-05
HDL cholesterol	3023602	642	-9.28083117096095e-05	-0.000153001950706935	-5.4636535718314e-05	0.497792810308681	0.800689738709611	FALSE	rs192487861	6.01936389973258e-05
LDL cholesterol	3001308	642	-0.000196007395861295	-0.00023324062526347	-0.000170394788985348	0.257238998402448	0.509663301192304	FALSE	rs548208154	3.72332294021751e-05
Triglycerides (fasting)	3048773	641	-1.99703846322911e-05	-0.000100702410441287	2.96624049490361e-05	0.714495944613827	0.99860414714221	TRUE	rs45473596	8.07320258089956e-05
