outcome	outcome_id	release	file	header	chromosome_column	position_column	reference_allele_column	alternate_allele_column	rsid_column	beta_column	se_column	pvalue_column	allele_frequency_column	genome_build	beta_effect_allele	has_rsids	extraction_match
Allergic rhinitis	ALLERG_RHINITIS	R13	data/finngen/r13_disease/finngen_R13_ALLERG_RHINITIS.gz	chrom | pos | ref | alt | rsids | nearest_genes | pval | mlogp | beta | sebeta | af_alt | af_alt_cases | af_alt_controls	#chrom	pos	ref	alt	rsids	beta	sebeta	pval	af_alt	GRCh38	ALT	TRUE	exact rsID token + exact exposure allele pair; FinnGen row supplies GRCh38 coordinate
Bronchiectasis	J10_BRONCHIECTASIS	R13	data/finngen/r13_disease/finngen_R13_J10_BRONCHIECTASIS.gz	chrom | pos | ref | alt | rsids | nearest_genes | pval | mlogp | beta | sebeta | af_alt | af_alt_cases | af_alt_controls	#chrom	pos	ref	alt	rsids	beta	sebeta	pval	af_alt	GRCh38	ALT	TRUE	exact rsID token + exact exposure allele pair; FinnGen row supplies GRCh38 coordinate
Eosinophilic disease	EOSINOPHIL_DISEASE	R13	data/finngen/r13_disease/finngen_R13_EOSINOPHIL_DISEASE.gz	chrom | pos | ref | alt | rsids | nearest_genes | pval | mlogp | beta | sebeta | af_alt | af_alt_cases | af_alt_controls	#chrom	pos	ref	alt	rsids	beta	sebeta	pval	af_alt	GRCh38	ALT	TRUE	exact rsID token + exact exposure allele pair; FinnGen row supplies GRCh38 coordinate
BMI (inverse-rank normalized)	BMI_IRN	R13	data/finngen/r13_disease/finngen_R13_BMI_IRN.gz	chrom | pos | ref | alt | rsids | nearest_genes | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	rsids	beta	sebeta	pval	af_alt	GRCh38	ALT	TRUE	exact rsID token + exact exposure allele pair; FinnGen row supplies GRCh38 coordinate
NAFLD	NAFLD	R13	data/finngen/r13_disease/finngen_R13_NAFLD.gz	chrom | pos | ref | alt | rsids | nearest_genes | pval | mlogp | beta | sebeta | af_alt | af_alt_cases | af_alt_controls	#chrom	pos	ref	alt	rsids	beta	sebeta	pval	af_alt	GRCh38	ALT	TRUE	exact rsID token + exact exposure allele pair; FinnGen row supplies GRCh38 coordinate
CRP	3020460	R12_lab_values	data/finngen/lab_values/finngen_R12_CRP_3020460.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
ALT	3006923	R12_lab_values	data/finngen/lab_values/finngen_R12_ALT_3006923.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
AST	3013721	R12_lab_values	data/finngen/lab_values/finngen_R12_AST_3013721.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
GGT	3026910	R12_lab_values	data/finngen/lab_values/finngen_R12_GGT_3026910.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
HDL cholesterol	3023602	R12_lab_values	data/finngen/lab_values/finngen_R12_HDL_3023602.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
LDL cholesterol	3001308	R12_lab_values	data/finngen/lab_values/finngen_R12_LDL_3001308.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
Triglycerides (fasting)	3048773	R12_lab_values	data/finngen/lab_values/finngen_R12_TRIGLYCERIDES_3048773.gz	chrom | pos | ref | alt | pval | mlogp | beta | sebeta | af_alt	#chrom	pos	ref	alt	NA	beta	sebeta	pval	af_alt	GRCh38	ALT	FALSE	FinnGen-R13 rsID-confirmed GRCh38 coordinate + exact REF/ALT (R12 has no rsids column)
