Outcome	IVW_heterogeneity_P	Heterogeneity_evidence	Egger_intercept	Egger_intercept_P	Egger_FDR_P	Directional_pleiotropy_flag	LOO_sign_reversal	Most_influential_SNP
Allergic rhinitis	4.87715594008264e-215	TRUE	0.0227901749587063	3.85036755916676e-86	4.62044107100011e-85	TRUE	FALSE	rs555284836
Bronchiectasis	0.000372587851844782	TRUE	0.00675174694170948	4.26390945471639e-05	0.000170556378188656	TRUE	FALSE	rs551599729
Eosinophilic disease	0.0832046302553067	FALSE	0.0160999202753102	8.39090308103799e-06	5.03454184862279e-05	TRUE	TRUE	rs138542223
BMI (inverse-rank normalized)	1.69098637357217e-136	TRUE	0.000248045818761495	0.271719725853208	0.32606367102385	FALSE	FALSE	rs534820243
NAFLD	0.0553792738128266	FALSE	0.00245863257149887	0.0783692865885573	0.134347348437527	FALSE	TRUE	rs551599729
CRP	7.75258401123304e-11	TRUE	-0.000196192703469598	0.250824662858425	0.32606367102385	FALSE	FALSE	rs551258059
ALT	8.9221096684631e-180	TRUE	-4.8739388892746e-05	0.829726053595356	0.829726053595356	FALSE	FALSE	rs45473596
AST	4.09765193268383e-42	TRUE	-0.00103732831896115	0.0011818936289587	0.00306834309944223	TRUE	FALSE	rs555284836
GGT	2.52492717698683e-83	TRUE	0.000127795521624332	0.588323670816973	0.641807640891243	FALSE	FALSE	rs555284836
HDL cholesterol	0	TRUE	0.000515765596761491	0.0750454844854953	0.134347348437527	FALSE	FALSE	rs192487861
LDL cholesterol	0	TRUE	-0.000384321031990269	0.270886121761464	0.32606367102385	FALSE	FALSE	rs548208154
Triglycerides (fasting)	0	TRUE	-0.001184886415553	0.00127847629143426	0.00306834309944223	TRUE	TRUE	rs45473596
