outcome	outcome_id	nsnp	strongest_single_snp	strongest_single_snp_p_value	largest_absolute_wald_ratio_snp	largest_absolute_wald_ratio
Allergic rhinitis	ALLERG_RHINITIS	652	rs7114362	1.46982817665644e-16	rs545072519	109.558978211871
Bronchiectasis	J10_BRONCHIECTASIS	652	rs2852714	0.000135663309138994	rs545072519	241.355371900826
Eosinophilic disease	EOSINOPHIL_DISEASE	652	rs73078636	0.000137495927566498	rs545072519	313.012021036814
BMI (inverse-rank normalized)	BMI_IRN	652	rs9801498	1.39700847829518e-18	rs545072519	23.5948910593539
NAFLD	NAFLD	652	rs610265	0.000229718146319173	rs545072519	89.6897069872276
CRP	3020460	641	rs2852714	1.89856847463341e-06	rs114137525	3.13033987840128
ALT	3006923	642	rs174551	5.52001450009278e-48	rs1787663	4.42018022290728
AST	3013721	623	rs7757696	3.54350723542644e-15	rs116581033	6.69046496274639
GGT	3026910	641	rs204992	6.18257782515069e-12	rs190438685	3.84507428571429
HDL cholesterol	3023602	642	rs12446418	1.60517404047895e-117	rs12446418	9.33592195868401
LDL cholesterol	3001308	642	rs531660643	0	rs12611017	9.1853413224909
Triglycerides (fasting)	3048773	641	rs174551	1.07461015339304e-184	rs1265764	5.72704166302734
