outcome	outcome_id	SNP	enters_harmonisation	retained	removed	absent_from_corrected_outcome	palindromic	ambiguous	remove	exclusion_reason
Allergic rhinitis	ALLERG_RHINITIS	rs12939565	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	ambiguous_palindromic_missing_exposure_eaf
Allergic rhinitis	ALLERG_RHINITIS	rs2055456	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
Allergic rhinitis	ALLERG_RHINITIS	rs146054809	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Allergic rhinitis	ALLERG_RHINITIS	rs370943675	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Allergic rhinitis	ALLERG_RHINITIS	rs558418140	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Allergic rhinitis	ALLERG_RHINITIS	rs560335706	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Allergic rhinitis	ALLERG_RHINITIS	rs571546412	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Bronchiectasis	J10_BRONCHIECTASIS	rs12939565	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	ambiguous_palindromic_missing_exposure_eaf
Bronchiectasis	J10_BRONCHIECTASIS	rs2055456	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
Bronchiectasis	J10_BRONCHIECTASIS	rs146054809	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Bronchiectasis	J10_BRONCHIECTASIS	rs370943675	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Bronchiectasis	J10_BRONCHIECTASIS	rs558418140	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Bronchiectasis	J10_BRONCHIECTASIS	rs560335706	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Bronchiectasis	J10_BRONCHIECTASIS	rs571546412	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Eosinophilic disease	EOSINOPHIL_DISEASE	rs12939565	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	ambiguous_palindromic_missing_exposure_eaf
Eosinophilic disease	EOSINOPHIL_DISEASE	rs2055456	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
Eosinophilic disease	EOSINOPHIL_DISEASE	rs146054809	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Eosinophilic disease	EOSINOPHIL_DISEASE	rs370943675	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Eosinophilic disease	EOSINOPHIL_DISEASE	rs558418140	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Eosinophilic disease	EOSINOPHIL_DISEASE	rs560335706	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
Eosinophilic disease	EOSINOPHIL_DISEASE	rs571546412	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
BMI (inverse-rank normalized)	BMI_IRN	rs12939565	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	ambiguous_palindromic_missing_exposure_eaf
BMI (inverse-rank normalized)	BMI_IRN	rs2055456	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
BMI (inverse-rank normalized)	BMI_IRN	rs146054809	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
BMI (inverse-rank normalized)	BMI_IRN	rs370943675	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
BMI (inverse-rank normalized)	BMI_IRN	rs558418140	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
BMI (inverse-rank normalized)	BMI_IRN	rs560335706	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
BMI (inverse-rank normalized)	BMI_IRN	rs571546412	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	absent_from_corrected_outcome
NAFLD	NAFLD	rs12939565	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	ambiguous_palindromic_missing_exposure_eaf
