exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10002654	0.00897401519447142	0.00415902996446627	0.0309497378376025
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10035217	0.00888189656162517	0.00415551186719182	0.032567319588708
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10040192	0.00896690193648309	0.00415756295693831	0.0310236857567629
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10057913	0.00897195296265349	0.0041583545645341	0.0309610564667993
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1009727	0.00896436964217255	0.00415679232120187	0.0310400091771847
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1012177	0.00897144671214403	0.00415830278580256	0.0309684407164009
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10136247	0.0089733820740566	0.00415898147012146	0.0309596247559015
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10158467	0.00896147645169725	0.00415658195246709	0.031085811271629
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10175070	0.00897506697842352	0.00415822745986556	0.0308977016937531
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10185424	0.00898559113688491	0.00415567602095477	0.0305992699535881
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10186746	0.00897319030035601	0.00415835958475535	0.0309381106787288
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10197437	0.00908594600349632	0.00415266861659733	0.0286712324361539
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1021621	0.00896863860578624	0.00415807917666264	0.0310120019911892
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1029751	0.00900054708411947	0.00415864505910959	0.0304414879782494
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1030347	0.0089686746121936	0.00415793267561502	0.0310054052639959
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10420217	0.00905764945387	0.00415621593812646	0.0293092452656935
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1049068	0.00881474304160105	0.00416616718542775	0.0343625050724801
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10498730	0.0089677718897669	0.00415768961887422	0.0310124981682547
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1050486	0.00899363874239816	0.00415924554561968	0.0305931688934526
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10751640	0.00908595761613603	0.00415891042282932	0.028911096907759
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs107860	0.0089823681552196	0.00415889366166315	0.0307883488638153
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10791824	0.00895758882151772	0.00415580239086064	0.0311273040145547
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10795633	0.00898223160512899	0.00415748431967717	0.0307342303874452
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10797291	0.00900833312313597	0.0041582674872267	0.0302831597971085
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10818481	0.00895729698203263	0.00415918424696999	0.031270086343183
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10905469	0.00903022962299096	0.00416081579600304	0.0299839246466106
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10916031	0.00907263683922979	0.00415519668115414	0.0290031715821359
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10928554	0.00897448457536437	0.00415827880581008	0.0309106546863503
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs10988207	0.00895794767207805	0.00415924160246904	0.0312601398279374
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs1102705	0.00899682759143244	0.00415942698884988	0.0305414197353162
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11069349	0.00897445913947596	0.00415828701167101	0.0309114610231725
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11074853	0.00897804891621595	0.00415791861903407	0.0308295994860236
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111164030	0.00898362215830334	0.00415902589951435	0.0307703203449859
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111164073	0.00897073425415762	0.00415941827033715	0.0310268563606308
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111261380	0.00903834449507808	0.00415871907860652	0.0297541226659276
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111396174	0.00895760107073127	0.00415879723613009	0.0312486241158585
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11146290	0.00899683606929131	0.00415871704828129	0.0305128740901018
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11158543	0.00893044614695667	0.00415797616268491	0.0317306993644339
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111597890	0.00896381939062848	0.00415945989678212	0.0311583856514145
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111637026	0.0089331487599664	0.00414567336070871	0.0311765100345799
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111641596	0.00897171648656089	0.00415831317922845	0.0309638110397015
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11168246	0.00893062402146806	0.00415924666853458	0.0317794755061931
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111717210	0.00896592266979372	0.00415884772283211	0.0310940499356579
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11188006	0.00896175045816645	0.00415889634068899	0.0311744648120859
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs111966309	0.00898250832506689	0.00415902325982246	0.0307909510618862
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112067814	0.00898796948329244	0.00415643174245597	0.0305854772756884
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112068732	0.00897577206901297	0.00415813050189155	0.0308806232815135
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11207023	0.0089679099806243	0.00415772742737521	0.0310114383894324
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112173287	0.00907702730964445	0.00416108440452285	0.0291531725106166
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11236723	0.00897401389667014	0.0041583080846931	0.0309206331634266
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11242105	0.00901799390438259	0.00415951056178271	0.0301554854960297
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112502960	0.00896150305044787	0.00416182867909946	0.0312981782865965
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11253578	0.00897381096570453	0.00415833123495995	0.0309253608627371
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11255686	0.00897570524829721	0.00415823180600436	0.0308859547641363
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs11256016	0.00899159036376209	0.00416276793250087	0.0307724532971564
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112715785	0.00888952948851596	0.00415629873881807	0.0324511336653002
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112743107	0.00897504419749685	0.00415823993543988	0.0308986303449089
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112842054	0.00900311197723044	0.00415958684340153	0.0304317796149434
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs112923147	0.00895429564893469	0.00415265121795093	0.0310614907739518
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113108794	0.0089727671637359	0.00415834408588907	0.0309453995817034
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113120413	0.00900698138616531	0.00415838542567349	0.0303126836395263
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113206908	0.00895490983203861	0.00415173297660648	0.0310127628889773
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113214835	0.00897235374508619	0.00415833563520141	0.0309527927262349
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113359448	0.00895707534320972	0.00415884712370255	0.031260568527645
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113396459	0.00896831413983662	0.00415786534556902	0.03100943898941
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113457465	0.00897969361509088	0.00415792135727031	0.0307990525016907
Asthma	LDL cholesterol	asthma_gwama	ieu-b-110	NA	rs113461829	0.00900533851679191	0.00415866938465645	0.0303541990533003
