outcome_id	outcome	outcome_type	final_mr_ready_snps	ivw_beta	ivw_SE	ivw_lower_95CI	ivw_upper_95CI	ivw_p_value	OR	OR_lower_95CI	OR_upper_95CI	ivw_p_bonferroni	ivw_bonferroni_significant	ivw_p_fdr_bh	ivw_fdr_significant	finngen_release	initial_asthma_instruments	finngen_matched_snps	finngen_coverage_percent	snps_entering_harmonisation	harmonisation_retention_percent	ivw_heterogeneity_Q	ivw_heterogeneity_Q_df	ivw_heterogeneity_p_value	mr_egger_intercept	mr_egger_intercept_SE	mr_egger_intercept_p_value	mr_egger_intercept_fdr_p_value	leave_one_out_sign_change	most_influential_leave_one_out_snp	maximum_absolute_leave_one_out_beta_change	all_five_methods_same_direction	heterogeneity_evidence	directional_pleiotropy_evidence	directional_pleiotropy_fdr	interpretation_qc
ALLERG_RHINITIS	Allergic rhinitis	binary	652	0.000620712080544741	0.000973801865307224	-0.00128793957545742	0.0025293637365469	0.523857125177319	1.00062090476215	0.998712889462762	1.00253256527572	1	FALSE	0.785785687765979	FALSE	R13	5254	810	15.4168252759802	810	80.4938271604938	2505.63070896066	651	4.87715594008264e-215	0.0227901749587063	0.000990581458027609	3.85036755916676e-86	4.62044107100011e-85	FALSE	rs555284836	0.000324152579624496	FALSE	TRUE	TRUE	TRUE	C
J10_BRONCHIECTASIS	Bronchiectasis	binary	652	0.000842130210195404	0.00122103776688157	-0.00155110381289247	0.00323536423328327	0.490392930343358	1.0008424849014	0.998450098526895	1.00324060367312	1	FALSE	0.785785687765979	FALSE	R13	5254	810	15.4168252759802	810	80.4938271604938	779.644374013018	651	0.000372587851844782	0.00675174694170948	0.00163845378791938	4.26390945471639e-05	0.000170556378188656	FALSE	rs551599729	0.000400693535967854	FALSE	TRUE	TRUE	TRUE	C
EOSINOPHIL_DISEASE	Eosinophilic disease	binary	652	0.000145597349940325	0.00270674242874457	-0.00515961781039902	0.00545081251027967	0.957101983881824	1.00014560794975	0.994853670154147	1.00546569521745	1	FALSE	0.957101983881824	FALSE	R13	5254	810	15.4168252759802	810	80.4938271604938	701.521480447181	651	0.0832046302553067	0.0160999202753102	0.00358498421173664	8.39090308103799e-06	5.03454184862279e-05	TRUE	rs138542223	0.000869359620589275	FALSE	FALSE	TRUE	TRUE	C; D
BMI_IRN	BMI (inverse-rank normalized)	continuous	652	-0.000217175347883562	0.000166409397584385	-0.000543337767148956	0.000108987071381832	0.191870168256249	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R13	5254	810	15.4168252759802	810	80.4938271604938	1996.81065753943	651	1.69098637357217e-136	0.000248045818761495	0.000225486963638327	0.271719725853208	0.32606367102385	FALSE	rs534820243	8.78039648608221e-05	FALSE	TRUE	FALSE	FALSE	B
NAFLD	NAFLD	binary	652	-9.63147371930543e-05	0.00103165834224751	-0.00211836508799817	0.00192573561361206	0.925618249030925	0.999903689900922	0.997883877063813	1.00192759103326	1	FALSE	0.957101983881824	FALSE	R13	5254	810	15.4168252759802	810	80.4938271604938	709.552158172136	651	0.0553792738128266	0.00245863257149887	0.0013945682587822	0.0783692865885573	0.134347348437527	TRUE	rs551599729	0.000408939022465441	TRUE	FALSE	FALSE	FALSE	D
3020460	CRP	continuous	641	-0.000201702307536281	0.000125882720136605	-0.000448432439004026	4.5027823931464e-05	0.109088539366306	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R12_lab_values	5254	797	15.1693947468595	797	80.426599749059	896.263187604553	640	7.75258401123304e-11	-0.000196192703469598	0.000170692691956618	0.250824662858425	0.32606367102385	FALSE	rs551258059	8.01302532698984e-05	FALSE	TRUE	FALSE	FALSE	B
3006923	ALT	continuous	642	0.000129384739787473	0.00016646411655694	-0.00019688492866413	0.000455654408239076	0.437009497895474	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R12_lab_values	5254	798	15.1884278644842	798	80.4511278195489	2265.30254390732	641	8.9221096684631e-180	-4.8739388892746e-05	0.000226546430350269	0.829726053595356	0.829726053595356	FALSE	rs45473596	5.17007952116347e-05	FALSE	TRUE	FALSE	FALSE	B
3013721	AST	continuous	623	-0.000204128417726959	0.000236521068632343	-0.000667709712246352	0.000259452876792433	0.388112511845959	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R12_lab_values	5254	773	14.7125999238675	773	80.5950840879689	1228.28720547599	622	4.09765193268383e-42	-0.00103732831896115	0.000318363255715768	0.0011818936289587	0.00306834309944223	FALSE	rs555284836	6.25791197773209e-05	FALSE	TRUE	TRUE	TRUE	C
3026910	GGT	continuous	641	0.000147629075141017	0.000173987324118872	-0.000193386080131972	0.000488644230414006	0.396156914851143	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R12_lab_values	5254	796	15.1503616292349	796	80.5276381909548	1597.30484637879	640	2.52492717698683e-83	0.000127795521624332	0.000235985047464814	0.588323670816973	0.641807640891243	FALSE	rs555284836	5.49260122884488e-05	FALSE	TRUE	FALSE	FALSE	B
3023602	HDL cholesterol	continuous	642	-9.28083117096095e-05	0.000212500536423005	-0.0005093093630987	0.000323692739679481	0.66229709258839	NA	NA	NA	1	FALSE	0.883062790117853	FALSE	R12_lab_values	5254	798	15.1884278644842	798	80.4511278195489	3843.64816069275	641	0	0.000515765596761491	0.000289253810569272	0.0750454844854953	0.134347348437527	FALSE	rs192487861	6.01936389973258e-05	FALSE	TRUE	FALSE	FALSE	B
3001308	LDL cholesterol	continuous	642	-0.000196007395861295	0.000255742729498248	-0.000697263145677862	0.000305248353955271	0.4434239868505	NA	NA	NA	1	FALSE	0.785785687765979	FALSE	R12_lab_values	5254	798	15.1884278644842	798	80.4511278195489	4519.84218367799	641	0	-0.000384321031990269	0.000348756103944693	0.270886121761464	0.32606367102385	FALSE	rs548208154	3.72332294021751e-05	TRUE	TRUE	FALSE	FALSE	B
3048773	Triglycerides (fasting)	continuous	641	-1.99703846322911e-05	0.000270615945307765	-0.00055037763743551	0.000510436868170928	0.941172679505121	NA	NA	NA	1	FALSE	0.957101983881824	FALSE	R12_lab_values	5254	797	15.1693947468595	797	80.426599749059	4974.96784752834	640	0	-0.001184886415553	0.000366253081016781	0.00127847629143426	0.00306834309944223	TRUE	rs45473596	8.07320258089956e-05	FALSE	TRUE	TRUE	TRUE	C; D
