outcome	outcome_id	nsnp	ivw_beta	ivw_p_value	ivw_Q	ivw_Q_df	ivw_heterogeneity_p_value	mr_egger_Q	mr_egger_Q_df	mr_egger_heterogeneity_p_value	egger_intercept	egger_intercept_SE	egger_intercept_p_value	p_egger_fdr	directional_pleiotropy_evidence	leave_one_out_sign_change	most_influential_leave_one_out_snp	maximum_absolute_leave_one_out_beta_change	strongest_single_snp	strongest_single_snp_p_value	heterogeneity_evidence
Allergic rhinitis	ALLERG_RHINITIS	652	0.000620712080544741	0.523857125177319	2505.63070896066	651	4.87715594008264e-215	1381.02096157443	650	8.33067887433811e-55	0.0227901749587063	0.000990581458027609	3.85036755916676e-86	4.62044107100011e-85	TRUE	FALSE	rs555284836	0.000324152579624496	rs7114362	1.46982817665644e-16	TRUE
Bronchiectasis	J10_BRONCHIECTASIS	652	0.000842130210195404	0.490392930343358	779.644374013018	651	0.000372587851844782	759.794992033673	650	0.0018240674490219	0.00675174694170948	0.00163845378791938	4.26390945471639e-05	0.000170556378188656	TRUE	FALSE	rs551599729	0.000400693535967854	rs2852714	0.000135663309138994	TRUE
Eosinophilic disease	EOSINOPHIL_DISEASE	652	0.000145597349940325	0.957101983881824	701.521480447181	651	0.0832046302553067	680.409453169954	650	0.197934550961419	0.0160999202753102	0.00358498421173664	8.39090308103799e-06	5.03454184862279e-05	TRUE	TRUE	rs138542223	0.000869359620589275	rs73078636	0.000137495927566498	FALSE
BMI (inverse-rank normalized)	BMI_IRN	652	-0.000217175347883562	0.191870168256249	1996.81065753943	651	1.69098637357217e-136	1993.10012108124	650	3.37553162246559e-136	0.000248045818761495	0.000225486963638327	0.271719725853208	0.32606367102385	FALSE	FALSE	rs534820243	8.78039648608221e-05	rs9801498	1.39700847829518e-18	TRUE
NAFLD	NAFLD	652	-9.63147371930543e-05	0.925618249030925	709.552158172136	651	0.0553792738128266	706.175346005137	650	0.0625594586553785	0.00245863257149887	0.0013945682587822	0.0783692865885573	0.134347348437527	FALSE	TRUE	rs551599729	0.000408939022465441	rs610265	0.000229718146319173	FALSE
CRP	3020460	641	-0.000201702307536281	0.109088539366306	896.263187604553	640	7.75258401123304e-11	894.4140314229	639	8.553897404627e-11	-0.000196192703469598	0.000170692691956618	0.250824662858425	0.32606367102385	FALSE	FALSE	rs551258059	8.01302532698984e-05	rs2852714	1.89856847463341e-06	TRUE
ALT	3006923	642	0.000129384739787473	0.437009497895474	2265.30254390732	641	8.9221096684631e-180	2265.13872631322	640	5.02486280026415e-180	-4.8739388892746e-05	0.000226546430350269	0.829726053595356	0.829726053595356	FALSE	FALSE	rs45473596	5.17007952116347e-05	rs174551	5.52001450009278e-48	TRUE
AST	3013721	623	-0.000204128417726959	0.388112511845959	1228.28720547599	622	4.09765193268383e-42	1207.64134599158	621	4.73941584269136e-40	-0.00103732831896115	0.000318363255715768	0.0011818936289587	0.00306834309944223	TRUE	FALSE	rs555284836	6.25791197773209e-05	rs7757696	3.54350723542644e-15	TRUE
GGT	3026910	641	0.000147629075141017	0.396156914851143	1597.30484637879	640	2.52492717698683e-83	1596.57210624868	639	1.98820368979423e-83	0.000127795521624332	0.000235985047464814	0.588323670816973	0.641807640891243	FALSE	FALSE	rs555284836	5.49260122884488e-05	rs204992	6.18257782515069e-12	TRUE
HDL cholesterol	3023602	642	-9.28083117096095e-05	0.66229709258839	3843.64816069275	641	0	3824.64796582058	640	0	0.000515765596761491	0.000289253810569272	0.0750454844854953	0.134347348437527	FALSE	FALSE	rs192487861	6.01936389973258e-05	rs12446418	1.60517404047895e-117	TRUE
LDL cholesterol	3001308	642	-0.000196007395861295	0.4434239868505	4519.84218367799	641	0	4511.2823622319	640	0	-0.000384321031990269	0.000348756103944693	0.270886121761464	0.32606367102385	FALSE	FALSE	rs548208154	3.72332294021751e-05	rs531660643	0	TRUE
Triglycerides (fasting)	3048773	641	-1.99703846322911e-05	0.941172679505121	4974.96784752834	640	0	4894.79550710951	639	0	-0.001184886415553	0.000366253081016781	0.00127847629143426	0.00306834309944223	TRUE	TRUE	rs45473596	8.07320258089956e-05	rs174551	1.07461015339304e-184	TRUE
